  x,     y,   camp
    0.19656E+02,    0.50278E+01,    0.98780E-02
    0.44482E+02,    0.13315E+02,    0.99605E-02
    0.37147E+02,    0.59804E+01,    0.99380E-02
    0.26799E+02,    0.11008E+02,    0.99181E-02
    0.19665E+02,    0.94952E+02,    0.98779E-02
    0.13101E+02,    0.89798E+02,    0.98401E-02
    0.40058E+01,    0.36614E+01,    0.98092E-02
    0.27645E+01,    0.15214E+02,    0.97019E-02
    0.13089E+02,    0.10176E+02,    0.98402E-02
    0.67703E+01,    0.88099E+01,    0.98230E-02
    0.13615E+02,    0.18582E+02,    0.97641E-02
    0.25350E+02,    0.20091E+02,    0.99052E-02
    0.18735E+02,    0.22516E+02,    0.98456E-02
    0.18150E+02,    0.28390E+02,    0.97922E-02
    0.40058E+01,    0.96339E+02,    0.98091E-02
    0.67749E+01,    0.91185E+02,    0.98228E-02
    0.13648E+02,    0.81359E+02,    0.97644E-02
    0.18783E+02,    0.77408E+02,    0.98452E-02
    0.46707E+01,    0.19478E+02,    0.96331E-02
    0.90911E+01,    0.26033E+02,    0.94012E-02
    0.92031E+01,    0.21480E+02,    0.96896E-02
    0.13977E+02,    0.30162E+02,    0.96319E-02
    0.10896E+02,    0.28961E+02,    0.95396E-02
    0.45897E+02,    0.46011E+02,    0.10056E-01
    0.31787E+02,    0.52582E+02,    0.10140E-01
    0.31320E+02,    0.48249E+02,    0.10173E-01
    0.45001E+02,    0.31330E+02,    0.10012E-01
    0.39482E+02,    0.24650E+02,    0.99890E-02
    0.30700E+02,    0.26398E+02,    0.99782E-02
    0.33939E+02,    0.42635E+02,    0.10067E-01
    0.40898E+02,    0.40679E+02,    0.10076E-01
    0.26416E+02,    0.47397E+02,    0.10205E-01
    0.24751E+02,    0.44681E+02,    0.10324E-01
    0.21273E+02,    0.45555E+02,    0.10310E-01
    0.27691E+01,    0.84781E+02,    0.97019E-02
    0.37139E+02,    0.94076E+02,    0.99380E-02
    0.44473E+02,    0.86742E+02,    0.99604E-02
    0.26799E+02,    0.89028E+02,    0.99179E-02
    0.25371E+02,    0.79923E+02,    0.99057E-02
    0.45897E+02,    0.54022E+02,    0.10056E-01
    0.19062E+01,    0.22737E+02,    0.94818E-02
    0.56827E+01,    0.27461E+02,    0.93529E-02
    0.11239E+01,    0.28085E+02,    0.91038E-02
    0.30301E+01,    0.26167E+02,    0.92233E-02
    0.27696E+02,    0.32627E+02,    0.99828E-02
    0.21762E+02,    0.32193E+02,    0.99685E-02
    0.29519E+02,    0.38161E+02,    0.10125E-01
    0.25237E+02,    0.41059E+02,    0.10096E-01
    0.19809E+02,    0.36053E+02,    0.99410E-02
    0.21460E+02,    0.39385E+02,    0.10208E-01
    0.92391E+01,    0.78470E+02,    0.96894E-02
    0.46865E+01,    0.80505E+02,    0.96330E-02
    0.18213E+02,    0.71514E+02,    0.97967E-02
    0.34462E+02,    0.57797E+02,    0.10065E-01
    0.40954E+02,    0.59519E+02,    0.10073E-01
    0.30767E+02,    0.73801E+02,    0.99756E-02
    0.45057E+02,    0.68835E+02,    0.10013E-01
    0.39530E+02,    0.75572E+02,    0.99880E-02
    0.26922E+02,    0.54636E+02,    0.10234E-01
    0.23967E+02,    0.49965E+02,    0.10400E-01
    0.24006E+02,    0.52871E+02,    0.10313E-01
    0.96086E+01,    0.34766E+02,    0.92466E-02
    0.19251E+02,    0.41553E+02,    0.10212E-01
    0.16815E+02,    0.41419E+02,    0.10250E-01
    0.19549E+02,    0.44101E+02,    0.10549E-01
    0.17268E+02,    0.44936E+02,    0.10504E-01
    0.15987E+02,    0.43544E+02,    0.10698E-01
    0.19175E+01,    0.77252E+02,    0.94820E-02
    0.91361E+01,    0.73903E+02,    0.94003E-02
    0.21838E+02,    0.67665E+02,    0.99704E-02
    0.26051E+02,    0.58732E+02,    0.10123E-01
    0.30076E+02,    0.62159E+02,    0.10111E-01
    0.27805E+02,    0.67438E+02,    0.99856E-02
    0.21109E+02,    0.53660E+02,    0.10386E-01
    0.26667E+01,    0.34813E+02,    0.76572E-02
    0.13996E+01,    0.34522E+02,    0.73615E-02
    0.84049E+00,    0.33543E+02,    0.76790E-02
    0.11239E+01,    0.30539E+02,    0.85428E-02
    0.19644E+01,    0.31796E+02,    0.84759E-02
    0.38439E+01,    0.31929E+02,    0.86220E-02
    0.56560E+01,    0.30528E+02,    0.88377E-02
    0.39871E+01,    0.33966E+02,    0.77762E-02
    0.82433E+01,    0.31548E+02,    0.91492E-02
    0.81741E+01,    0.33537E+02,    0.87812E-02
    0.50689E+01,    0.35070E+02,    0.81588E-02
    0.63852E+01,    0.34888E+02,    0.82023E-02
    0.98924E+01,    0.38244E+02,    0.91858E-02
    0.57147E+01,    0.72502E+02,    0.93527E-02
