  x,     y,   corriente
    0.19697E+02,    0.50385E+01,    0.19754E-13
    0.44508E+02,    0.13291E+02,    0.19920E-13
    0.37175E+02,    0.59576E+01,    0.19875E-13
    0.26864E+02,    0.10996E+02,    0.19834E-13
    0.19704E+02,    0.94945E+02,    0.19754E-13
    0.13177E+02,    0.90006E+02,    0.19678E-13
    0.40075E+01,    0.36568E+01,    0.19615E-13
    0.28028E+01,    0.14987E+02,    0.19398E-13
    0.13166E+02,    0.99732E+01,    0.19679E-13
    0.68103E+01,    0.85915E+01,    0.19645E-13
    0.13745E+02,    0.18419E+02,    0.19527E-13
    0.40075E+01,    0.96343E+02,    0.19615E-13
    0.68147E+01,    0.91404E+02,    0.19645E-13
    0.13772E+02,    0.81529E+02,    0.19527E-13
    0.18910E+02,    0.77368E+02,    0.19687E-13
    0.14124E+02,    0.30230E+02,    0.19266E-13
    0.10957E+02,    0.29072E+02,    0.19085E-13
    0.18298E+02,    0.28454E+02,    0.19591E-13
    0.25463E+02,    0.20083E+02,    0.19811E-13
    0.18875E+02,    0.22571E+02,    0.19688E-13
    0.45907E+02,    0.46020E+02,    0.20114E-13
    0.31825E+02,    0.52613E+02,    0.20283E-13
    0.31351E+02,    0.48276E+02,    0.20351E-13
    0.45017E+02,    0.31306E+02,    0.20025E-13
    0.39526E+02,    0.24605E+02,    0.19977E-13
    0.30791E+02,    0.26359E+02,    0.19956E-13
    0.33971E+02,    0.42634E+02,    0.20136E-13
    0.40924E+02,    0.40668E+02,    0.20154E-13
    0.26454E+02,    0.47417E+02,    0.20413E-13
    0.24795E+02,    0.44694E+02,    0.20653E-13
    0.21332E+02,    0.45558E+02,    0.20627E-13
    0.28072E+01,    0.85009E+02,    0.19398E-13
    0.37167E+02,    0.94096E+02,    0.19875E-13
    0.44500E+02,    0.86763E+02,    0.19920E-13
    0.26863E+02,    0.89040E+02,    0.19833E-13
    0.25474E+02,    0.79940E+02,    0.19811E-13
    0.45907E+02,    0.54035E+02,    0.20113E-13
    0.11900E+01,    0.27461E+02,    0.18192E-13
    0.48774E+01,    0.19012E+02,    0.19308E-13
    0.20747E+01,    0.22474E+02,    0.18961E-13
    0.32647E+01,    0.25310E+02,    0.18606E-13
    0.94641E+01,    0.21062E+02,    0.19400E-13
    0.92734E+01,    0.25890E+02,    0.18827E-13
    0.58767E+01,    0.26677E+02,    0.18833E-13
    0.22830E+01,    0.29504E+02,    0.17782E-13
    0.48951E+01,    0.29435E+02,    0.17858E-13
    0.27790E+02,    0.32619E+02,    0.19967E-13
    0.21885E+02,    0.32226E+02,    0.19941E-13
    0.29571E+02,    0.38157E+02,    0.20252E-13
    0.25292E+02,    0.41077E+02,    0.20195E-13
    0.19909E+02,    0.36090E+02,    0.19887E-13
    0.21535E+02,    0.39403E+02,    0.20421E-13
    0.94949E+01,    0.78894E+02,    0.19400E-13
    0.48921E+01,    0.80975E+02,    0.19308E-13
    0.18357E+02,    0.71460E+02,    0.19602E-13
    0.34504E+02,    0.57834E+02,    0.20131E-13
    0.40984E+02,    0.59546E+02,    0.20148E-13
    0.30855E+02,    0.73840E+02,    0.19951E-13
    0.45077E+02,    0.68852E+02,    0.20026E-13
    0.39577E+02,    0.75607E+02,    0.19975E-13
    0.26960E+02,    0.54665E+02,    0.20471E-13
    0.24016E+02,    0.49982E+02,    0.20806E-13
    0.24048E+02,    0.52893E+02,    0.20633E-13
    0.10930E+01,    0.31118E+02,    0.16960E-13
    0.98008E+01,    0.34833E+02,    0.18529E-13
    0.56418E+01,    0.31343E+02,    0.17641E-13
    0.83075E+01,    0.31768E+02,    0.18141E-13
    0.83667E+01,    0.33722E+02,    0.17678E-13
    0.19318E+02,    0.41562E+02,    0.20430E-13
    0.16883E+02,    0.41422E+02,    0.20509E-13
    0.19612E+02,    0.44099E+02,    0.21106E-13
    0.17329E+02,    0.44926E+02,    0.21015E-13
    0.16048E+02,    0.43533E+02,    0.21402E-13
    0.20849E+01,    0.77517E+02,    0.18962E-13
