  x,     y,   camp
    0.15116E+02,    0.46578E+02,    0.10981E-01
    0.14454E+02,    0.47525E+02,    0.11462E-01
    0.13333E+02,    0.47166E+02,    0.11896E-01
    0.11332E+02,    0.42099E+02,    0.10053E-01
    0.11845E+02,    0.40123E+02,    0.96404E-02
    0.12277E+02,    0.41204E+02,    0.10412E-01
    0.10357E+02,    0.44315E+02,    0.11348E-01
    0.15438E+02,    0.50959E+02,    0.11157E-01
    0.21154E+02,    0.53681E+02,    0.10388E-01
    0.14540E+02,    0.48353E+02,    0.11652E-01
    0.15425E+02,    0.48998E+02,    0.11169E-01
    0.14922E+02,    0.49999E+02,    0.11682E-01
    0.13934E+02,    0.50186E+02,    0.11698E-01
    0.17731E+02,    0.48025E+02,    0.10708E-01
    0.16825E+02,    0.49188E+02,    0.11178E-01
    0.20100E+02,    0.47924E+02,    0.10689E-01
    0.21125E+02,    0.49626E+02,    0.10432E-01
    0.19619E+02,    0.51535E+02,    0.10749E-01
    0.16807E+02,    0.50622E+02,    0.11174E-01
    0.17633E+02,    0.51714E+02,    0.10753E-01
    0.80434E+00,    0.66289E+02,    0.76756E-02
    0.18962E+01,    0.67413E+02,    0.81042E-02
    0.38285E+01,    0.67113E+02,    0.83488E-02
    0.53452E+00,    0.35510E+02,    0.67404E-02
    0.11871E+02,    0.59858E+02,    0.96407E-02
    0.10496E+02,    0.59703E+02,    0.98818E-02
    0.11619E+02,    0.62464E+02,    0.94157E-02
    0.98530E+01,    0.65170E+02,    0.92722E-02
    0.11732E+02,    0.64641E+02,    0.93395E-02
    0.86125E+01,    0.63482E+02,    0.85449E-02
    0.81943E+01,    0.39636E+02,    0.87755E-02
    0.76323E+01,    0.40124E+02,    0.85145E-02
    0.81635E+01,    0.41045E+02,    0.92838E-02
    0.77180E+01,    0.40736E+02,    0.88097E-02
    0.52612E+01,    0.37378E+02,    0.71263E-02
    0.71902E+01,    0.36510E+02,    0.84811E-02
    0.48113E+01,    0.36537E+02,    0.70224E-02
    0.52246E+01,    0.35255E+02,    0.81105E-02
