723	0	0	0	0	1.806e+007	0	0
722	0	2	0.237875	0	0	672542	7.00392e+006
712	0	3.999	0.475643	3.24636	2527.69	5.20312e+006	0
646	0	5.999	0.71344	13.8079	0	7.53813e+006	4.43157e+006
641	0	7.999	0.951129	6.63734	185.997	8.23968e+006	1.64106e+006
639	0	9.999	1.18867	0.0511859	0	8.3992e+006	2.58729e+006
572	0	11.999	1.426	0	109.605	8.42655e+006	2.38228e+006
568	0	13.998	1.66295	0	43.5791	8.43045e+006	2.4106e+006
552	0	15.998	1.89967	0	60.0355	8.43094e+006	2.40915e+006
490	0	17.998	2.13595	12.4127	63.2558	8.43099e+006	2.40875e+006
488	0	19.997	2.37155	32.6464	58.3848	8.431e+006	2.40897e+006
487	0	21.997	2.60653	39.6908	60.5992	8.431e+006	2.40953e+006
486	0	23.997	2.84057	63.5485	59.0439	8.43101e+006	2.41356e+006
479	0	25.997	3.07339	31.9444	56.8598	8.43084e+006	2.43787e+006
431	0	27.996	3.3045	109.473	50.628	8.43278e+006	2.56588e+006
421	0	29.996	3.53361	0	40.0876	8.4131e+006	3.141e+006
420	0	31.996	3.75981	1522.44	53.119	8.5818e+006	5.20219e+006
419	0	33.996	3.98201	0	331.082	7.4248e+006	1.05705e+007
409	0	35.995	4.19804	1.38521e+008	2441.66	1.30335e+007	1.8149e+007
362	0	37.995	4.40781	0	9909.3	0	2.26823e+007
262	0	39.995	4.60556	0	32541.6	2.40269e+007	3.72875e+006
214	0	39.998	4.85837	3.65218e+012	4.80223e+007	1.35641e+008	3.80579e+010
169	0	40	5.0234	0	1.24207e+008	3142.75	1.01611e+011
130	0	40.952	5.13706	0	0	0	0
101	0	41.905	5.24973	7.32216e+012	4367.92	1.69694e+007	2.12376e+008
55	0	42.857	5.3581	7.73424e+012	0	5.47065e+007	3.36631e+007
37	0	43.81	5.46272	4.18337e+012	82.245	7.47088e+007	1.21245e+008
35	0	44.762	5.55991	1.15081e+012	0	8.29154e+007	2.78823e+007
58	0	45.714	5.65044	2.95434e+011	47.2225	8.50174e+007	7.99468e+007
102	0	46.667	5.73437	7.43992e+010	13.5704	8.54333e+007	5.98807e+007
134	0	47.619	5.81415	1.88997e+010	36.6011	8.55028e+007	6.70748e+007
186	0	48.571	5.88999	4.32362e+009	2.94855	8.5513e+007	6.43809e+007
231	0	49.524	5.96368	9.81142e+008	23.7871	8.55142e+007	6.51089e+007
305	0	50.476	6.03656	2.21652e+008	0.396323	8.55145e+007	6.45761e+007
364	0	51.429	6.11024	4.97171e+007	7.9915	8.55135e+007	6.35165e+007
424	0	52.381	6.18606	1.09536e+007	15.518	8.55222e+007	6.00992e+007
489	0	53.333	6.26584	2.42867e+006	65.9164	8.54579e+007	5.22144e+007
569	0	54.286	6.34976	565604	219.543	8.58791e+007	3.62614e+007
642	0	55.238	6.44028	89740.9	713.552	8.33822e+007	1.49588e+007
724	0	56.19	6.53745	151701	2212.15	9.47631e+007	0
806	0	57.143	6.64205	0	3311.7	6.19596e+007	0
893	0	58.095	6.75037	1.74319e+010	2821.61	1.67631e+008	0
977	0	59.048	6.86309	0	0	0	166001
1050	0	60	6.97761	2.87627e+014	0	2.47905e+009	0
1125	0	60.002	7.1425	1.11247e+014	837.578	8.5271e+008	1.18466e+008
1220	0	60.005	7.39386	7.81752e+010	0	4.87822e+007	3.35577e+007
1302	0	62.005	7.59222	2.24925e+010	0	3.62017e+007	0
1383	0	64.004	7.80158	5.20192e+009	149.833	1.59833e+007	5.45847e+006
1454	0	66.004	8.01799	7.29008e+008	29.0562	9.86014e+006	771452
1514	0	68.004	8.24031	9.07149e+007	67.4594	8.62264e+006	3.01747e+006
1584	0	70.004	8.46657	1.11428e+007	58.7209	8.45201e+006	2.23236e+006
1652	0	72.003	8.69551	1.38801e+006	60.5658	8.433e+006	2.45177e+006
1719	0	74.003	8.92665	174659	60.1146	8.43117e+006	2.39998e+006
1772	0	76.003	9.15946	21865.7	60.2074	8.43101e+006	2.41042e+006
1833	0	78.003	9.39351	2799.07	60.0625	8.431e+006	2.40859e+006
1898	0	80.002	9.62838	386.628	59.6766	8.431e+006	2.40876e+006
1918	0	82.002	9.86409	76.4285	58.4723	8.43104e+006	2.40814e+006
1929	0	84.002	10.1004	118.391	55.1796	8.43039e+006	2.40519e+006
1940	0	86.002	10.3371	0.606429	47.3491	8.43563e+006	2.39177e+006
1949	0	88.001	10.574	118.892	31.8539	8.41469e+006	2.33787e+006
1961	0	90.001	10.8114	0	9.60556	8.36506e+006	2.15369e+006
1966	0	92.001	11.0489	306.897	0	9.61131e+006	1.65186e+006
1967	0	94.001	11.2866	0	0.254632	1.68891e+006	803979
1965	0	96.001	11.5244	5943.41	14.4166	2.70383e+007	378638
1959	0	98	11.7621	0	0	0	0
1958	0	100	12	1.5e+007	0	1e+012	0
