  x,     y,   camp
    0.14436E+01,    0.65952E+02,    0.13392E-13
    0.12297E+02,    0.45568E+02,    0.24847E-13
    0.12231E+02,    0.43234E+02,    0.21576E-13
    0.13446E+02,    0.42901E+02,    0.22091E-13
    0.14438E+02,    0.43946E+02,    0.21988E-13
    0.13708E+02,    0.44824E+02,    0.22595E-13
    0.12822E+02,    0.46451E+02,    0.24987E-13
    0.16205E+02,    0.48496E+02,    0.22841E-13
    0.15823E+02,    0.46978E+02,    0.22878E-13
    0.14604E+02,    0.46635E+02,    0.23209E-13
    0.18919E+02,    0.51583E+02,    0.22051E-13
    0.17400E+02,    0.50844E+02,    0.22384E-13
    0.76629E+01,    0.39165E+02,    0.16661E-13
    0.76813E+01,    0.39944E+02,    0.16396E-13
    0.12417E+02,    0.41007E+02,    0.21078E-13
    0.11277E+02,    0.41629E+02,    0.20445E-13
    0.55490E+01,    0.40313E+02,    0.14613E-13
    0.61848E+01,    0.39995E+02,    0.15487E-13
    0.23562E+01,    0.38089E+02,    0.77447E-14
    0.54019E+01,    0.39251E+02,    0.13480E-13
    0.59722E+01,    0.39728E+02,    0.13909E-13
    0.61375E+01,    0.39296E+02,    0.14928E-13
    0.57981E+01,    0.39034E+02,    0.13194E-13
    0.51042E+01,    0.38464E+02,    0.12609E-13
    0.55734E+01,    0.37568E+02,    0.12901E-13
    0.56736E+01,    0.38591E+02,    0.13280E-13
    0.59855E+01,    0.38167E+02,    0.14274E-13
    0.46780E+01,    0.38091E+02,    0.11257E-13
    0.48352E+01,    0.37619E+02,    0.12862E-13
    0.39858E+01,    0.67901E+02,    0.16100E-13
    0.74465E+01,    0.65681E+02,    0.16061E-13
    0.51876E+01,    0.69642E+02,    0.17473E-13
    0.78681E+01,    0.69465E+02,    0.17532E-13
    0.88914E+01,    0.67294E+02,    0.17876E-13
    0.34867E+01,    0.62253E+02,    0.97176E-14
    0.36729E+01,    0.62763E+02,    0.11511E-13
    0.12098E+02,    0.44007E+02,    0.23229E-13
    0.12147E+02,    0.45088E+02,    0.23829E-13
    0.12584E+02,    0.44552E+02,    0.23317E-13
    0.10102E+02,    0.42314E+02,    0.21580E-13
    0.96469E+01,    0.41863E+02,    0.20391E-13
    0.10798E+02,    0.43421E+02,    0.22142E-13
    0.10199E+02,    0.44201E+02,    0.24633E-13
    0.13164E+02,    0.46977E+02,    0.24596E-13
    0.13972E+02,    0.47369E+02,    0.23901E-13
    0.12665E+02,    0.47868E+02,    0.26114E-13
    0.12658E+02,    0.47400E+02,    0.25244E-13
    0.11527E+02,    0.46900E+02,    0.26967E-13
    0.11808E+02,    0.47222E+02,    0.26194E-13
    0.12162E+02,    0.47104E+02,    0.26242E-13
    0.12222E+02,    0.46567E+02,    0.24893E-13
    0.15393E+02,    0.49464E+02,    0.23760E-13
    0.11734E+02,    0.53742E+02,    0.26040E-13
    0.11096E+02,    0.66078E+02,    0.18523E-13
    0.13685E+02,    0.66532E+02,    0.18801E-13
    0.12063E+02,    0.53435E+02,    0.25144E-13
    0.30402E+00,    0.38875E+02,    0.15473E-14
    0.57784E+00,    0.38753E+02,    0.18856E-14
    0.22938E+00,    0.37538E+02,    0.66386E-14
    0.33406E+00,    0.36741E+02,    0.87673E-14
    0.56344E+00,    0.37092E+02,    0.79771E-14
    0.13378E+01,    0.38420E+02,    0.40874E-14
    0.10967E+01,    0.38571E+02,    0.40726E-14
    0.17336E+01,    0.37913E+02,    0.71492E-14
    0.20154E+01,    0.37739E+02,    0.71572E-14
    0.11043E+01,    0.37133E+02,    0.87194E-14
    0.16797E+01,    0.36764E+02,    0.87688E-14
    0.21424E+01,    0.37146E+02,    0.92772E-14
    0.73588E+01,    0.40767E+02,    0.17604E-13
    0.81150E+01,    0.40412E+02,    0.18340E-13
    0.68475E+01,    0.39767E+02,    0.15809E-13
    0.65669E+01,    0.40038E+02,    0.15565E-13
    0.72663E+01,    0.40059E+02,    0.16877E-13
    0.72227E+01,    0.40477E+02,    0.16520E-13
    0.12546E+02,    0.38339E+02,    0.19446E-13
    0.12029E+02,    0.39873E+02,    0.19268E-13
    0.11111E+02,    0.37412E+02,    0.18867E-13
    0.59396E+01,    0.40641E+02,    0.15980E-13
    0.60756E+01,    0.40276E+02,    0.14797E-13
    0.58380E+01,    0.40382E+02,    0.15444E-13
    0.30604E+01,    0.38405E+02,    0.83707E-14
    0.27698E+01,    0.38063E+02,    0.80514E-14
    0.37462E+01,    0.38140E+02,    0.99869E-14
    0.34725E+01,    0.38450E+02,    0.94483E-14
    0.22680E+01,    0.38453E+02,    0.65602E-14
    0.29508E+01,    0.39282E+02,    0.81118E-14
    0.29644E+01,    0.38716E+02,    0.75624E-14
    0.54096E+01,    0.39585E+02,    0.12882E-13
    0.56405E+01,    0.39800E+02,    0.14438E-13
    0.54589E+01,    0.40084E+02,    0.13999E-13
    0.45076E+01,    0.39808E+02,    0.12141E-13
    0.32171E+01,    0.39216E+02,    0.81933E-14
    0.32400E+01,    0.38952E+02,    0.89014E-14
    0.34568E+01,    0.39416E+02,    0.94645E-14
    0.36850E+01,    0.39299E+02,    0.89513E-14
    0.35382E+01,    0.38791E+02,    0.86062E-14
    0.37435E+01,    0.38938E+02,    0.10193E-13
    0.44254E+01,    0.66391E+02,    0.14897E-13
    0.28950E+01,    0.65575E+02,    0.14393E-13
    0.57861E+01,    0.65507E+02,    0.16054E-13
    0.88796E+00,    0.64361E+02,    0.11069E-13
    0.16930E+01,    0.64024E+02,    0.11971E-13
    0.16635E+01,    0.63265E+02,    0.87934E-14
    0.31185E+01,    0.63212E+02,    0.10166E-13
    0.28134E+01,    0.64512E+02,    0.11966E-13
    0.35330E+01,    0.63994E+02,    0.12864E-13
    0.43246E+01,    0.62893E+02,    0.11647E-13
    0.48335E+01,    0.62378E+02,    0.12858E-13
    0.53871E+01,    0.64039E+02,    0.13661E-13
    0.44165E+01,    0.63801E+02,    0.13644E-13
