tita, campo[?]
0.057067, 5.957500e+00
0.114082, 5.957200e+00
0.231403, 5.957200e+00
0.291790, 5.956900e+00
0.404021, 5.956900e+00
0.456095, 5.957000e+00
0.573511, 5.957000e+00
0.639227, 5.956500e+00
0.821849, 5.956500e+00
0.939246, 5.955500e+00
1.174185, 5.955500e+00
1.291656, 5.954500e+00
1.526266, 5.954500e+00
1.643634, 5.953600e+00
1.878795, 5.953600e+00
1.996238, 5.952200e+00
2.230778, 5.952200e+00
2.348281, 5.950600e+00
2.583372, 5.950600e+00
2.700706, 5.948800e+00
2.935364, 5.948800e+00
3.052883, 5.946800e+00
3.287800, 5.946800e+00
3.405059, 5.944600e+00
3.639871, 5.944600e+00
3.757267, 5.942200e+00
3.992418, 5.942200e+00
4.109534, 5.939500e+00
4.344127, 5.939500e+00
4.461877, 5.936400e+00
4.696739, 5.936400e+00
4.814169, 5.933500e+00
5.049080, 5.933500e+00
5.166236, 5.929900e+00
5.401358, 5.929900e+00
5.518625, 5.926400e+00
5.753316, 5.926400e+00
5.870531, 5.922500e+00
6.105591, 5.922400e+00
6.223294, 5.918500e+00
6.457968, 5.918500e+00
6.575170, 5.914400e+00
6.810288, 5.914400e+00
6.928036, 5.909800e+00
7.162225, 5.909800e+00
7.279399, 5.905000e+00
7.514512, 5.905000e+00
7.631716, 5.900000e+00
7.866650, 5.900000e+00
7.983772, 5.894800e+00
8.219083, 5.894800e+00
8.336302, 5.889700e+00
8.570677, 5.889700e+00
8.688585, 5.884100e+00
8.924213, 5.884000e+00
9.040871, 5.878300e+00
9.276153, 5.878300e+00
9.393485, 5.872400e+00
9.627632, 5.872300e+00
9.745796, 5.865900e+00
9.979957, 5.865900e+00
10.098245, 5.859500e+00
10.332781, 5.859500e+00
10.450425, 5.852900e+00
10.684573, 5.852900e+00
10.802306, 5.845900e+00
11.037887, 5.845900e+00
11.154992, 5.838900e+00
11.389648, 5.838900e+00
11.507375, 5.831700e+00
11.741830, 5.831700e+00
11.858939, 5.824100e+00
12.094197, 5.824100e+00
12.211333, 5.816400e+00
12.446413, 5.816400e+00
12.563517, 5.808300e+00
12.797669, 5.808300e+00
12.916028, 5.800000e+00
13.150548, 5.800000e+00
13.268384, 5.791500e+00
13.502524, 5.791500e+00
13.620324, 5.782800e+00
13.855611, 5.782800e+00
13.972928, 5.773900e+00
14.207862, 5.773900e+00
14.325090, 5.764800e+00
14.559823, 5.764800e+00
14.676604, 5.755500e+00
14.912425, 5.755500e+00
15.029060, 5.746000e+00
15.264701, 5.745900e+00
15.381495, 5.736100e+00
15.616226, 5.736100e+00
15.734347, 5.726200e+00
15.968889, 5.726200e+00
16.086712, 5.715800e+00
16.320888, 5.715800e+00
16.438446, 5.705400e+00
16.674040, 5.705400e+00
16.790265, 5.694900e+00
17.024949, 5.694900e+00
17.141923, 5.684100e+00
17.378662, 5.684100e+00
17.496031, 5.672800e+00
17.729623, 5.672800e+00
17.846544, 5.661800e+00
18.082225, 5.661700e+00
18.199068, 5.650100e+00
18.433863, 5.650100e+00
18.551983, 5.638700e+00
18.786590, 5.638700e+00
18.905303, 5.626700e+00
19.139147, 5.626700e+00
19.257084, 5.614700e+00
19.490609, 5.614600e+00
19.608306, 5.602200e+00
19.843368, 5.602200e+00
19.960333, 5.589800e+00
20.195427, 5.589800e+00
20.312628, 5.576700e+00
20.548948, 5.576700e+00
20.665935, 5.564000e+00
20.899905, 5.564000e+00
21.018003, 5.550800e+00
21.253290, 5.550800e+00
21.370321, 5.537200e+00
21.604737, 5.537200e+00
21.722805, 5.523500e+00
21.957022, 5.523500e+00
22.073549, 5.509900e+00
22.309136, 5.509900e+00
22.427592, 5.495900e+00
22.660378, 5.495900e+00
22.779769, 5.481700e+00
23.014568, 5.481700e+00
23.130337, 5.467200e+00
23.364786, 5.467200e+00
23.483102, 5.452500e+00
23.717349, 5.452500e+00
23.834904, 5.437800e+00
24.070605, 5.437800e+00
24.188362, 5.422700e+00
24.423361, 5.422700e+00
24.540989, 5.407300e+00
24.775141, 5.407300e+00
24.892317, 5.392000e+00
25.126779, 5.391900e+00
25.245856, 5.376300e+00
25.478950, 5.376300e+00
25.595525, 5.360600e+00
25.831389, 5.360600e+00
25.950059, 5.344500e+00
26.184590, 5.344500e+00
26.300552, 5.328200e+00
26.535865, 5.328200e+00
26.654075, 5.311800e+00
26.887875, 5.311700e+00
27.005925, 5.295300e+00
27.241495, 5.295300e+00
27.358618, 5.278500e+00
27.592776, 5.278400e+00
27.709602, 5.261400e+00
27.944462, 5.261400e+00
28.061879, 5.244200e+00
28.298119, 5.244200e+00
28.414344, 5.227000e+00
28.650405, 5.227000e+00
28.767403, 5.209100e+00
29.002668, 5.209100e+00
29.118272, 5.191400e+00
29.352831, 5.191300e+00
29.472205, 5.173400e+00
29.706466, 5.173400e+00
29.823776, 5.155400e+00
30.057328, 5.155400e+00
30.176328, 5.136900e+00
30.411961, 5.136900e+00
30.528683, 5.118400e+00
30.763632, 5.118300e+00
30.882264, 5.099400e+00
31.116432, 5.099400e+00
31.232544, 5.080500e+00
31.468918, 5.080500e+00
31.584232, 5.061500e+00
31.820693, 5.061400e+00
31.938266, 5.041800e+00
32.170905, 5.041800e+00
32.288280, 5.022400e+00
32.523002, 5.022400e+00
32.640441, 5.002700e+00
32.878066, 5.002600e+00
32.995067, 4.982900e+00
33.228343, 4.982900e+00
33.344706, 4.962700e+00
33.580920, 4.962600e+00
33.697530, 4.942200e+00
33.932518, 4.942200e+00
34.051471, 4.922100e+00
34.286275, 4.922000e+00
34.402028, 4.901200e+00
34.639320, 4.901200e+00
34.753975, 4.880200e+00
34.990614, 4.880200e+00
35.105982, 4.859200e+00
35.341890, 4.859200e+00
35.459216, 4.837900e+00
35.694470, 4.837900e+00
35.812798, 4.816600e+00
36.046424, 4.816600e+00
36.164123, 4.795100e+00
36.400833, 4.795100e+00
36.518377, 4.773300e+00
36.751508, 4.773300e+00
36.870126, 4.751500e+00
37.102586, 4.751400e+00
37.220249, 4.729300e+00
37.457264, 4.729300e+00
37.574317, 4.706900e+00
37.809057, 4.706900e+00
37.926357, 4.684300e+00
38.159990, 4.684200e+00
38.276707, 4.661800e+00
38.513178, 4.661800e+00
38.629882, 4.638900e+00
38.864099, 4.638900e+00
38.983648, 4.616000e+00
39.218611, 4.615900e+00
39.334842, 4.592600e+00
39.569109, 4.592600e+00
39.687655, 4.569300e+00
39.921726, 4.569200e+00
40.040868, 4.545700e+00
40.275189, 4.545700e+00
40.390054, 4.521900e+00
40.626257, 4.521900e+00
40.743497, 4.498000e+00
40.977833, 4.498000e+00
41.094343, 4.474000e+00
41.329055, 4.474000e+00
41.447225, 4.449900e+00
41.681270, 4.449900e+00
41.800561, 4.425600e+00
42.033980, 4.425500e+00
42.151887, 4.401000e+00
42.388063, 4.401000e+00
42.506793, 4.376300e+00
42.738488, 4.376200e+00
42.855711, 4.351400e+00
43.090632, 4.351400e+00
43.207942, 4.326500e+00
43.446182, 4.326400e+00
43.563159, 4.301200e+00
43.796418, 4.301200e+00
43.913140, 4.275900e+00
44.149756, 4.275800e+00
44.266065, 4.250200e+00
44.502070, 4.250200e+00
44.617778, 4.224600e+00
44.853178, 4.224600e+00
44.968831, 4.198800e+00
45.203611, 4.198800e+00
45.321956, 4.172800e+00
45.556606, 4.172700e+00
45.674665, 4.146500e+00
45.911743, 4.146400e+00
46.027041, 4.120200e+00
46.262462, 4.120100e+00
46.381783, 4.093700e+00
46.613339, 4.093700e+00
46.729726, 4.067300e+00
46.964842, 4.067300e+00
47.083580, 4.040500e+00
47.320744, 4.040500e+00
47.435185, 4.013500e+00
47.672781, 4.013500e+00
47.787874, 3.986700e+00
48.025288, 3.986700e+00
48.139121, 3.959500e+00
48.375589, 3.959500e+00
48.493579, 3.932200e+00
48.729484, 3.932100e+00
48.847035, 3.904700e+00
49.082012, 3.904700e+00
49.199419, 3.877000e+00
49.433450, 3.877000e+00
49.550840, 3.849200e+00
49.784686, 3.849200e+00
49.900750, 3.821300e+00
50.136157, 3.821200e+00
50.256317, 3.793200e+00
50.488477, 3.793200e+00
50.605264, 3.764900e+00
50.840938, 3.764900e+00
50.959804, 3.736700e+00
51.195292, 3.736600e+00
51.311581, 3.708000e+00
51.546185, 3.708000e+00
51.663759, 3.679500e+00
51.897806, 3.679400e+00
52.013603, 3.650600e+00
52.251296, 3.650600e+00
52.367933, 3.621800e+00
52.604541, 3.621700e+00
52.720882, 3.592700e+00
52.957008, 3.592600e+00
53.072625, 3.563500e+00
53.307919, 3.563500e+00
53.423309, 3.534100e+00
53.658062, 3.534000e+00
53.777832, 3.504700e+00
54.012107, 3.504700e+00
54.130840, 3.475300e+00
54.364243, 3.475200e+00
54.483619, 3.445500e+00
54.716544, 3.445500e+00
54.834032, 3.415700e+00
55.067260, 3.415700e+00
55.184126, 3.385700e+00
55.421362, 3.385700e+00
55.537935, 3.355600e+00
55.774830, 3.355500e+00
55.890782, 3.325500e+00
56.125585, 3.325400e+00
56.244515, 3.295100e+00
56.478557, 3.295100e+00
56.593588, 3.264600e+00
56.828823, 3.264500e+00
56.948028, 3.234000e+00
57.180606, 3.233900e+00
57.299171, 3.203300e+00
57.536140, 3.203300e+00
57.649319, 3.172500e+00
57.885783, 3.172400e+00
58.004023, 3.141500e+00
58.239477, 3.141500e+00
58.356598, 3.110500e+00
58.591558, 3.110400e+00
58.709493, 3.079200e+00
58.945402, 3.079200e+00
59.058432, 3.047900e+00
59.297016, 3.047900e+00
59.412648, 3.016500e+00
59.645530, 3.016400e+00
59.763466, 2.984900e+00
60.000623, 2.984900e+00
60.115069, 2.953300e+00
60.351750, 2.953200e+00
60.469419, 2.921400e+00
60.705459, 2.921400e+00
60.823721, 2.889700e+00
61.059292, 2.889600e+00
61.176716, 2.857600e+00
61.406628, 2.857600e+00
61.528779, 2.825700e+00
61.762974, 2.825600e+00
61.880165, 2.793400e+00
62.114009, 2.793400e+00
62.230004, 2.761100e+00
62.468180, 2.761100e+00
62.585422, 2.728500e+00
62.817925, 2.728500e+00
62.932798, 2.696100e+00
63.169932, 2.696000e+00
63.286969, 2.663500e+00
63.523277, 2.663500e+00
63.637290, 2.630900e+00
63.873146, 2.630800e+00
63.990003, 2.598000e+00
64.225304, 2.598000e+00
64.343359, 2.565100e+00
64.577970, 2.565000e+00
64.694914, 2.531900e+00
64.928982, 2.531900e+00
65.051149, 2.498900e+00
65.284786, 2.498800e+00
65.401589, 2.465600e+00
65.636996, 2.465600e+00
65.753617, 2.432400e+00
65.986244, 2.432400e+00
66.106858, 2.399000e+00
66.338820, 2.398900e+00
66.455554, 2.365300e+00
66.692262, 2.365300e+00
66.811850, 2.331800e+00
67.042654, 2.331800e+00
67.164569, 2.298200e+00
67.396195, 2.298200e+00
67.512686, 2.264400e+00
67.748859, 2.264400e+00
67.865425, 2.230500e+00
68.100151, 2.230500e+00
68.217710, 2.196700e+00
68.451813, 2.196600e+00
68.573863, 2.162700e+00
68.807534, 2.162700e+00
68.924090, 2.128600e+00
69.157149, 2.128600e+00
69.273833, 2.094400e+00
69.511831, 2.094400e+00
69.627594, 2.060300e+00
69.865003, 2.060200e+00
69.981873, 2.025800e+00
70.213512, 2.025800e+00
70.333671, 1.991400e+00
70.570119, 1.991400e+00
70.686989, 1.956900e+00
70.917661, 1.956900e+00
71.036861, 1.922400e+00
71.272559, 1.922300e+00
71.389448, 1.887700e+00
71.622753, 1.887700e+00
71.739567, 1.853000e+00
71.974551, 1.853000e+00
72.092153, 1.818200e+00
72.326586, 1.818200e+00
72.449090, 1.783300e+00
72.683030, 1.783300e+00
72.799872, 1.748500e+00
73.033277, 1.748400e+00
73.150401, 1.713400e+00
73.383664, 1.713400e+00
73.505064, 1.678400e+00
73.737805, 1.678300e+00
73.855024, 1.643200e+00
74.089018, 1.643200e+00
74.206372, 1.607900e+00
74.444019, 1.607900e+00
74.558406, 1.572900e+00
74.795551, 1.572800e+00
74.913036, 1.537400e+00
75.145075, 1.537400e+00
75.262702, 1.502000e+00
75.499690, 1.502000e+00
75.617468, 1.466600e+00
75.853649, 1.466600e+00
75.966254, 1.431300e+00
76.201821, 1.431200e+00
76.319763, 1.395600e+00
76.555258, 1.395600e+00
76.672554, 1.360200e+00
76.907589, 1.360100e+00
77.025722, 1.324400e+00
77.259625, 1.324400e+00
77.377926, 1.288700e+00
77.611285, 1.288700e+00
77.729754, 1.252900e+00
77.963979, 1.252900e+00
78.079467, 1.217200e+00
78.318859, 1.217100e+00
78.431953, 1.181300e+00
78.671205, 1.181300e+00
78.785869, 1.145500e+00
79.019090, 1.145400e+00
79.138041, 1.109400e+00
79.371236, 1.109400e+00
79.490608, 1.073500e+00
79.723292, 1.073500e+00
79.842621, 1.037400e+00
80.080832, 1.037400e+00
80.193782, 1.001400e+00
80.431603, 1.001300e+00
80.545583, 9.651700e-01
80.783414, 9.651700e-01
80.901228, 9.291800e-01
81.132940, 9.290900e-01
81.252880, 8.928400e-01
81.484520, 8.928400e-01
81.607233, 8.568000e-01
81.838511, 8.567100e-01
81.958794, 8.204000e-01
82.190884, 8.204900e-01
82.311385, 7.841300e-01
82.542871, 7.842200e-01
82.663592, 7.478300e-01
82.894511, 7.478300e-01
83.015675, 7.117100e-01
83.246187, 7.116200e-01
83.367287, 6.751700e-01
83.603083, 6.752800e-01
83.718730, 6.387900e-01
83.954108, 6.389200e-01
84.069923, 6.024400e-01
84.305870, 6.024400e-01
84.419860, 5.662900e-01
84.655441, 5.662000e-01
84.777427, 5.295900e-01
85.007397, 5.295900e-01
85.126342, 4.934400e-01
85.361670, 4.933500e-01
85.478442, 4.567200e-01
85.713830, 4.567200e-01
85.832101, 4.205100e-01
86.067211, 4.204200e-01
86.184440, 3.837100e-01
86.416922, 3.839600e-01
86.534368, 3.471800e-01
86.772260, 3.474500e-01
