tita, campo[?]
0.116988, 2.987200e+00
0.234184, 2.987100e+00
0.468943, 2.987100e+00
0.586152, 2.986900e+00
0.820081, 2.986900e+00
0.937312, 2.986600e+00
1.172084, 2.986600e+00
1.289252, 2.986100e+00
1.523275, 2.986100e+00
1.640442, 2.985500e+00
1.875156, 2.985500e+00
1.992273, 2.984900e+00
2.226367, 2.984900e+00
2.343561, 2.984100e+00
2.578369, 2.984100e+00
2.695366, 2.983200e+00
2.929358, 2.983200e+00
3.046686, 2.982200e+00
3.225015, 2.982200e+00
3.342204, 2.984300e+00
3.342334, 2.978500e+00
3.459531, 2.981100e+00
3.633030, 2.981100e+00
3.750246, 2.980000e+00
3.984372, 2.980000e+00
4.101183, 2.978700e+00
4.335932, 2.978700e+00
4.453493, 2.977200e+00
4.687390, 2.977200e+00
4.804521, 2.975700e+00
5.039028, 2.975700e+00
5.156495, 2.974000e+00
5.390799, 2.974000e+00
5.508189, 2.972200e+00
5.742468, 2.972200e+00
5.858898, 2.970400e+00
6.093647, 2.970400e+00
6.211223, 2.968400e+00
6.445432, 2.968400e+00
6.561785, 2.966300e+00
6.797075, 2.966200e+00
6.913877, 2.964000e+00
7.147861, 2.964000e+00
7.265400, 2.961700e+00
7.500298, 2.961700e+00
7.617701, 2.959300e+00
7.852201, 2.959300e+00
7.969044, 2.956700e+00
8.202945, 2.956700e+00
8.320612, 2.954000e+00
8.554807, 2.954000e+00
8.671098, 2.951200e+00
8.906896, 2.951200e+00
9.023178, 2.948400e+00
9.257693, 2.948400e+00
9.374822, 2.945400e+00
9.609145, 2.945400e+00
9.726370, 2.942200e+00
9.961402, 2.942200e+00
10.078658, 2.939000e+00
10.255267, 2.939000e+00
10.373331, 2.934200e+00
10.373561, 2.939900e+00
10.490603, 2.935700e+00
10.663225, 2.935700e+00
10.781306, 2.932200e+00
11.016496, 2.932200e+00
11.133247, 2.928600e+00
11.367145, 2.928600e+00
11.484650, 2.925000e+00
11.719278, 2.925000e+00
11.835485, 2.921200e+00
12.070547, 2.921200e+00
12.187450, 2.917300e+00
12.422701, 2.917200e+00
12.538920, 2.913300e+00
12.773842, 2.913300e+00
12.890775, 2.909200e+00
13.124738, 2.909200e+00
13.241534, 2.904900e+00
13.476965, 2.904900e+00
13.593961, 2.900600e+00
13.828138, 2.900600e+00
13.944282, 2.896200e+00
14.179172, 2.896200e+00
14.297625, 2.891600e+00
14.531256, 2.891600e+00
14.648719, 2.886900e+00
14.882495, 2.886900e+00
15.000506, 2.882100e+00
15.233547, 2.882100e+00
15.351886, 2.877300e+00
15.586391, 2.877300e+00
15.702625, 2.872300e+00
15.936596, 2.872300e+00
16.054350, 2.867100e+00
16.288482, 2.867100e+00
16.406132, 2.861900e+00
16.640620, 2.861900e+00
16.757772, 2.856600e+00
16.992373, 2.856600e+00
17.109489, 2.851200e+00
17.344145, 2.851200e+00
17.461376, 2.845600e+00
17.694745, 2.845600e+00
17.813210, 2.840000e+00
18.046593, 2.840000e+00
18.164244, 2.834300e+00
18.399553, 2.834300e+00
18.515805, 2.828500e+00
18.749703, 2.828500e+00
18.868369, 2.822500e+00
19.101351, 2.822500e+00
19.218898, 2.816500e+00
19.452546, 2.816500e+00
19.570251, 2.810300e+00
19.804581, 2.810300e+00
19.921487, 2.804100e+00
20.155962, 2.804000e+00
20.273788, 2.797700e+00
20.507040, 2.797700e+00
20.625290, 2.791300e+00
20.859193, 2.791300e+00
20.976871, 2.784700e+00
21.210818, 2.784600e+00
21.328448, 2.778000e+00
21.562810, 2.778000e+00
21.679788, 2.771200e+00
21.913470, 2.771200e+00
22.030455, 2.764300e+00
22.205174, 2.764300e+00
22.323718, 2.757800e+00
22.323872, 2.763200e+00
22.440250, 2.757300e+00
22.617753, 2.757300e+00
22.733547, 2.750200e+00
22.969424, 2.750200e+00
23.085142, 2.743100e+00
23.319535, 2.743000e+00
23.437965, 2.735700e+00
23.672344, 2.735700e+00
23.788028, 2.728300e+00
24.023007, 2.728300e+00
24.140259, 2.720800e+00
24.374859, 2.720800e+00
24.493000, 2.713300e+00
24.726959, 2.713300e+00
24.843022, 2.705500e+00
25.079511, 2.705500e+00
25.194852, 2.697700e+00
25.429677, 2.697700e+00
25.547511, 2.689800e+00
25.780517, 2.689800e+00
25.897908, 2.681800e+00
26.131718, 2.681800e+00
26.248895, 2.673700e+00
26.485369, 2.673600e+00
26.602400, 2.665500e+00
26.835184, 2.665500e+00
26.954276, 2.657200e+00
27.187166, 2.657200e+00
27.303819, 2.648800e+00
27.538171, 2.648800e+00
27.656117, 2.640300e+00
27.890591, 2.640300e+00
28.009564, 2.631700e+00
28.242410, 2.631700e+00
28.359700, 2.623100e+00
28.592640, 2.623000e+00
28.711304, 2.614300e+00
28.945392, 2.614300e+00
29.063660, 2.605400e+00
29.298237, 2.605400e+00
29.413747, 2.596400e+00
29.649099, 2.596400e+00
29.764005, 2.587300e+00
30.000512, 2.587200e+00
30.118582, 2.578100e+00
30.350641, 2.578100e+00
30.467716, 2.568800e+00
30.701844, 2.568700e+00
30.821256, 2.559400e+00
31.054498, 2.559300e+00
31.170885, 2.549900e+00
31.407421, 2.549900e+00
31.524908, 2.540300e+00
31.758047, 2.540300e+00
31.875628, 2.530600e+00
32.110645, 2.530600e+00
32.225229, 2.520900e+00
32.459849, 2.520900e+00
32.577137, 2.511000e+00
32.813796, 2.511000e+00
32.930739, 2.501100e+00
33.163670, 2.501100e+00
33.280020, 2.491100e+00
33.516321, 2.491000e+00
33.632480, 2.480900e+00
33.867278, 2.480900e+00
33.982432, 2.470700e+00
34.220519, 2.470600e+00
34.336416, 2.460300e+00
34.570271, 2.460300e+00
34.687461, 2.449900e+00
34.920913, 2.449900e+00
35.039819, 2.439400e+00
35.272239, 2.439400e+00
35.391562, 2.428800e+00
35.623575, 2.428800e+00
35.742282, 2.418100e+00
35.976613, 2.418100e+00
36.095265, 2.407300e+00
36.328747, 2.407300e+00
36.444336, 2.396400e+00
36.680216, 2.396400e+00
36.797714, 2.385500e+00
37.030246, 2.385400e+00
37.148580, 2.374300e+00
37.383118, 2.374300e+00
37.499897, 2.363300e+00
37.734046, 2.363200e+00
37.852207, 2.351900e+00
38.085841, 2.351900e+00
38.204505, 2.340600e+00
38.436925, 2.340600e+00
38.555015, 2.329200e+00
38.787103, 2.329100e+00
38.905058, 2.317700e+00
39.140062, 2.317600e+00
39.257894, 2.306000e+00
39.491966, 2.306000e+00
39.608307, 2.294300e+00
39.845640, 2.294300e+00
39.959658, 2.282600e+00
40.196084, 2.282600e+00
40.311237, 2.270800e+00
