X, Y, V
8.66, 45, nan
8.899, 45.438, nan
9.115, 45.887, nan
8.473, 46.632, nan
8.587, 47.003, nan
8.832, 46.499, nan
9.309, 46.347, nan
8.677, 47.432, nan
8.762, 47.884, nan
2.109, 39.87, nan
2.522, 39.945, nan
3.002, 40.022, nan
3.493, 40.165, nan
3.989, 40.306, nan
4.487, 40.465, nan
5.016, 40.676, nan
5.599, 40.908, nan
5.938, 41.304, nan
6.328, 41.564, nan
6.747, 41.837, nan
7.195, 42.159, nan
7.522, 42.595, nan
7.907, 42.957, nan
8.258, 43.42, nan
8.564, 43.867, nan
1.492, 39.438, nan
5.995, 48.976, nan
6.335, 48.903, nan
6.015, 49.312, nan
6.802, 48.851, nan
7.325, 48.839, nan
1.997, 39.488, nan
2.197, 39.647, nan
1.759, 39.333, nan
5.948, 40.829, nan
6.21, 40.957, nan
0, 50.476, nan
0.904, 50.48, nan
1.776, 50.488, nan
2.598, 50.492, nan
3.386, 50.519, nan
4.153, 50.531, nan
4.871, 50.526, nan
5.748, 49.689, nan
5.534, 50.561, nan
8.962, 44.252, nan
8.832, 48.346, nan
7.854, 48.831, nan
8.377, 48.825, nan
8.891, 48.812, nan
8.662, 44.999, nan
8.665, 44.998, nan
9.177, 44.757, nan
8.901, 45.437, nan
9.117, 45.886, nan
9.311, 46.346, nan
9.008, 46.922, nan
9.143, 47.371, nan
9.479, 46.815, nan
9.482, 46.814, nan
9.249, 47.838, nan
9.335, 48.311, nan
2.516, 39.598, nan
3.027, 39.562, nan
3.545, 39.722, nan
1.85, 39.085, nan
2.339, 39.267, nan
4.057, 39.835, nan
4.085, 39.406, nan
3.559, 39.354, nan
4.593, 39.861, nan
5.186, 40.117, nan
6.064, 40.572, nan
5.865, 40.306, nan
6.565, 41.137, nan
6.365, 40.645, nan
6.692, 40.719, nan
7.041, 41.232, nan
7.861, 42.194, nan
7.699, 41.591, nan
9.11, 43.914, nan
8.933, 43.593, nan
6.363, 49.286, nan
6.839, 49.283, nan
6.344, 49.724, nan
7.361, 49.279, nan
7.893, 49.282, nan
6.07, 50.203, nan
6.057, 50.708, nan
6.464, 50.202, nan
9.621, 44.571, nan
9.542, 44.175, nan
9.436, 43.831, nan
0, 37.995, nan
1.504, 38.649, nan
0, 51.429, nan
0.908, 51.433, nan
1.768, 51.417, nan
2.584, 51.425, nan
3.366, 51.452, nan
8.368, 42.451, nan
8.775, 43.08, nan
4.195, 51.566, nan
4.899, 51.345, nan
5.531, 51.32, nan
6.115, 51.336, nan
9.315, 43.521, nan
9.169, 43.209, nan
9.402, 48.789, nan
8.419, 49.284, nan
8.935, 49.28, nan
9.449, 49.27, nan
8.903, 45.436, nan
9.477, 45.168, nan
9.12, 45.885, nan
9.313, 46.345, nan
9.484, 46.814, nan
9.626, 47.292, nan
9.749, 47.775, nan
9.629, 47.291, nan
9.631, 47.29, nan
9.848, 48.264, nan
9.922, 48.757, nan
3.048, 38.922, nan
5.259, 39.598, nan
4.597, 39.044, nan
5.959, 39.638, nan
6.506, 40.272, nan
6.645, 39.758, nan
7.12, 40.462, nan
7.892, 40.684, nan
6.871, 49.722, nan
7.398, 49.732, nan
6.935, 50.196, nan
7.928, 49.738, nan
8.45, 49.746, nan
6.557, 50.732, nan
7.001, 50.647, nan
9.768, 43.741, nan
9.683, 43.355, nan
0, 35.995, nan
3.256, 37.641, nan
2.199, 36.488, nan
9.153, 42.687, nan
8.854, 42.35, nan
9.454, 43.035, nan
4.582, 52.027, nan
5.037, 52.004, nan
5.594, 51.982, nan
6.164, 51.955, nan
0, 33.996, nan
0, 31.996, nan
0, 29.996, nan
6.756, 51.315, nan
6.727, 51.952, nan
0, 52.381, nan
0.923, 52.395, nan
1.779, 52.329, nan
2.551, 52.296, nan
3.284, 52.322, nan
3.969, 52.388, nan
4.522, 52.564, nan
0, 27.996, nan
10.107, 44.801, nan
10.133, 43.963, nan
8.544, 41.601, nan
9.042, 41.934, nan
8.694, 40.805, nan
7.064, 51.035, nan
8.982, 41.038, nan
8.908, 41.384, nan
9.972, 49.253, nan
8.963, 49.751, nan
