X, Y, campo
3.95396, 59.1947, 0
3.85619, 59.2394, 0
3.9116, 59.2127, 0
4.17842, 59.0949, 0
4.07477, 59.1451, 0
4.13285, 59.1214, 0
4.00852, 59.1725, 0
4.23938, 59.0682, 0
5.2145, 58.5431, 0
5.2603, 58.515, 0
5.51751, 58.3589, 0
5.40899, 58.434, 0
5.379, 58.4441, 0
5.47411, 58.3791, 0
5.32709, 58.477, 0
4.84649, 58.763, 0
4.74853, 58.8106, 0
4.79725, 58.7877, 0
5.12027, 58.5999, 0
4.99533, 58.6854, 0
4.94178, 58.7053, 0
5.05858, 58.6363, 0
4.88983, 58.733, 0
5.1739, 58.5773, 0
4.68905, 58.8459, 0
5.57228, 58.3142, 0
7.01091, 57.143, 0
6.09483, 42.0592, 0
7.14837, 42.9946, 0
7.10705, 42.9527, 0
7.19522, 43.0382, 0
7.33452, 43.1795, 0
7.2962, 43.133, 0
7.40833, 43.2578, 0
7.36355, 43.2155, 0
7.24087, 43.0902, 0
7.4903, 43.3614, 0
7.53118, 43.3953, 0
7.65304, 43.5438, 0
7.61166, 43.4882, 0
7.68549, 43.5884, 0
7.56282, 43.4442, 0
7.4531, 43.314, 0
7.80783, 43.7248, 0
7.76734, 43.6818, 0
7.84907, 43.7836, 0
7.9537, 43.9243, 0
7.92098, 43.8817, 0
8.03395, 44.0193, 0
8.00806, 43.9875, 0
7.88707, 43.8319, 0
8.10389, 44.1172, 0
8.13931, 44.1753, 0
8.24831, 44.3162, 0
8.20725, 44.2714, 0
8.31558, 44.4298, 0
8.2819, 44.3676, 0
0.812356, 39.9986, 0
8.194, 44.2339, 0
8.05964, 44.0656, 0
7.73896, 43.6421, 0
8.3749, 44.5195, 0
8.41096, 44.5723, 0
8.51093, 44.7332, 0
8.49977, 44.6949, 0
8.57359, 44.8358, 0
8.54308, 44.7855, 0
8.4484, 44.6334, 0
8.6415, 44.9502, 0
8.68544, 45.0047, 0
8.7657, 45.152, 0
8.73316, 45.1027, 0
8.79111, 45.2155, 0
8.71197, 45.0588, 0
8.60908, 44.8891, 0
8.87295, 45.369, 0
8.85345, 45.3142, 0
8.91029, 45.4232, 0
8.99857, 45.6023, 0
8.95897, 45.5377, 0
9.04649, 45.6987, 0
9.01592, 45.6452, 0
8.9377, 45.4868, 0
9.09485, 45.8216, 0
9.12413, 45.8659, 0
9.19764, 46.0434, 0
9.17417, 45.9782, 0
9.21574, 46.0955, 0
9.14022, 45.9218, 0
9.06796, 45.7635, 0
8.82151, 45.2717, 0
8.34536, 44.4746, 0
9.29322, 46.2615, 0
9.26696, 46.2086, 0
9.31468, 46.3274, 0
9.3749, 46.4948, 0
9.35595, 46.4445, 0
9.42412, 46.6089, 0
9.40858, 46.571, 0
9.33704, 46.3846, 0
9.46261, 46.723, 0
9.47966, 46.7888, 0
9.54307, 46.9553, 0
9.51676, 46.9005, 0
9.55792, 47.0123, 0
9.51499, 46.8607, 0
9.43527, 46.6607, 0
9.6052, 47.1866, 0
9.58996, 47.135, 0
9.62435, 47.2476, 0
9.67333, 47.4306, 0
9.67376, 47.3907, 0
9.64245, 47.317, 0
9.68891, 47.49, 0
9.7035, 47.547, 0
9.57445, 47.0836, 0
9.72198, 47.6083, 0
9.76151, 47.741, 0
9.73527, 47.6762, 0
9.77817, 47.8462, 0
9.80595, 47.9764, 0
9.79555, 47.9053, 0
9.77119, 47.8005, 0
9.8142, 48.0361, 0
9.25131, 46.1624, 0
9.83245, 48.086, 0
9.85519, 48.2068, 0
9.83518, 48.1441, 0
9.86854, 48.3305, 0
9.89224, 48.4524, 0
9.88767, 48.4038, 0
9.86296, 48.2756, 0
9.91159, 48.5815, 0
9.93131, 48.6925, 0
9.91616, 48.6416, 0
9.94661, 48.8145, 0
9.95234, 48.9388, 0
9.95014, 48.8837, 0
9.93048, 48.7507, 0
9.90556, 48.5099, 0
9.96852, 49.0619, 0
9.9783, 49.1201, 0
9.9852, 49.3135, 0
9.98021, 49.2446, 0
9.99883, 49.4498, 0
9.98873, 49.3671, 0
9.97581, 49.1884, 0
9.99833, 49.5434, 0
10.0034, 49.5893, 0
10.006, 49.7633, 0
10.0022, 50.3979, 0
10.0165, 49.9027, 0
10.0236, 49.7804, 0
10.0099, 49.6595, 0
9.99934, 49.4857, 0
9.96694, 49.0132, 0
10.0087, 49.9476, 0
7.06368, 42.9092, 0
8.6259, 55.0792, 0
8.6531, 55.0298, 0
8.75977, 54.8623, 0
8.71418, 54.9233, 0
8.77692, 54.8249, 0
8.6838, 54.9767, 0
8.3769, 55.4925, 0
8.4056, 55.4333, 0
8.56963, 55.1767, 0
8.49977, 55.3051, 0
8.47543, 55.3367, 0
8.52963, 55.2438, 0
8.43588, 55.3919, 0
8.59465, 55.1365, 0
9.08306, 54.204, 0
9.10339, 54.1598, 0
9.19417, 53.9802, 0
9.15478, 54.0454, 0
9.20758, 53.9414, 0
9.12979, 54.1015, 0
8.86739, 54.6483, 0
8.84436, 54.6853, 0
8.89971, 54.5944, 0
9.02748, 54.322, 0
8.97599, 54.4436, 0
8.95085, 54.494, 0
9.0043, 54.3734, 0
8.92222, 54.5383, 0
9.05621, 54.2649, 0
8.81332, 54.75, 0
7.52105, 56.6162, 0
7.42458, 56.7223, 0
7.46675, 56.6776, 0
7.67801, 56.4254, 0
7.60124, 56.5113, 0
7.63774, 56.4684, 0
7.55042, 56.5806, 0
7.17212, 56.991, 0
7.10164, 57.0528, 0
7.14086, 57.0249, 0
7.34081, 56.8035, 0
7.26428, 56.8897, 0
7.30885, 56.8455, 0
7.21355, 56.9403, 0
7.38691, 56.7555, 0
8.09018, 55.9092, 0
8.12077, 55.857, 0
8.29632, 55.6111, 0
8.22482, 55.7221, 0
8.20336, 55.7461, 0
8.26658, 55.6451, 0
8.18013, 55.7946, 0
7.83103, 56.2413, 0
7.75874, 56.3227, 0
7.79529, 56.2799, 0
8.0246, 55.9817, 0
7.93886, 56.1127, 0
7.89698, 56.1515, 0
7.97849, 56.0431, 0
7.85959, 56.197, 0
8.04773, 55.9622, 0
7.71729, 56.3781, 0
8.3298, 55.5489, 0
9.91482, 51.3957, 0
9.91893, 51.3381, 0
9.95061, 51.1396, 0
9.94159, 51.2158, 0
9.95097, 51.0739, 0
9.93722, 51.2618, 0
9.84115, 51.8687, 0
9.84362, 51.8106, 0
9.89835, 51.5032, 0
9.88022, 51.6416, 0
9.86901, 51.6852, 0
9.88706, 51.5805, 0
9.85844, 51.7677, 0
9.90213, 51.4572, 0
10.0067, 50.4249, 0
10.0434, 49.7265, 0
10.0134, 50.21, 0
10.0155, 50.0563, 0
10.0083, 50.0934, 0
10.0088, 49.9936, 0
10.0053, 50.3135, 0
9.9719, 50.8934, 0
9.9655, 50.9622, 0
9.97348, 50.8396, 0
9.99583, 50.5359, 0
9.98675, 50.6635, 0
9.99344, 50.7115, 0
9.99108, 50.5946, 0
9.98041, 50.7529, 0
10.0067, 50.2034, 0
9.96019, 51.0157, 0
9.45243, 53.3114, 0
9.46729, 53.2475, 0
9.53415, 53.058, 0
9.50722, 53.1286, 0
9.55085, 52.9975, 0
9.48784, 53.1869, 0
9.2803, 53.7567, 0
9.26102, 53.7959, 0
9.30601, 53.6926, 0
9.41079, 53.4189, 0
9.36832, 53.5424, 0
9.34823, 53.595, 0
9.38961, 53.4697, 0
9.29748, 53.7057, 0
9.43063, 53.3567, 0
9.73647, 52.3544, 0
9.74059, 52.3014, 0
9.8066, 52.0015, 0
9.78777, 52.1244, 0
9.77307, 52.1592, 0
9.79622, 52.0516, 0
9.75529, 52.2444, 0
9.6052, 52.8134, 0
9.5863, 52.8879, 0
9.62079, 52.7846, 0
9.70169, 52.4882, 0
9.66675, 52.614, 0
9.68504, 52.5249, 0
9.64928, 52.6584, 0
9.64024, 52.705, 0
9.71668, 52.4062, 0
9.57686, 52.9426, 0
9.81821, 51.9438, 0
0.493454, 39.9761, 0
9.23646, 53.8633, 0
10.0382, 49.9484, 0
7.04223, 57.1219, 0
0.0324747, 60.0098, 0
0.638697, 40.0009, 0
0.166408, 39.9865, 0
0.0513757, 39.9847, 0
1.00626, 40.0013, 0
0.503902, 60.0119, 0
0.341542, 39.9971, 0
0.415691, 39.9999, 0
0.510279, 40.0043, 0
0.571684, 40.0062, 0
0.625245, 40.0108, 0
0.693491, 40.007, 0
