X, Y, corriente
0.561387, 59.993, 1.87968e-10
0.885766, 59.9726, 2.89704e-10
0.770735, 59.979, 2.57983e-10
0.686744, 59.9883, 2.31237e-10
0.826853, 59.9745, 2.73835e-10
0.639816, 59.9966, 2.10689e-10
0.0882817, 60.0084, 3.98161e-11
0.148469, 60.0115, 6.1143e-11
0.189503, 60.0139, 7.83046e-11
0.264817, 60.0053, 9.59747e-11
0.363469, 60.0073, 1.25615e-10
0.31342, 60.0039, 1.07864e-10
0.402968, 60.0021, 1.38344e-10
0.435096, 60.0045, 1.47664e-10
1.59905, 59.8816, 5.14228e-10
1.49769, 59.8961, 4.74235e-10
1.5407, 59.8895, 4.91228e-10
1.84333, 59.8376, 5.80117e-10
1.72241, 59.8665, 5.46242e-10
1.793, 59.8468, 5.67141e-10
1.68464, 59.866, 5.37818e-10
1.0154, 59.9571, 3.30221e-10
0.94694, 59.967, 3.09064e-10
1.04797, 59.9607, 3.40836e-10
1.35225, 59.9278, 4.40109e-10
1.23425, 59.9338, 4.03955e-10
1.17565, 59.9395, 3.79119e-10
1.2921, 59.932, 4.20757e-10
1.11464, 59.9465, 3.57556e-10
1.43462, 59.9068, 4.62804e-10
1.90617, 59.8256, 5.97735e-10
3.79942, 59.2629, 1.09281e-09
6.0197, 58.0048, 1.74985e-09
6.07566, 57.9642, 1.76076e-09
6.17004, 57.8895, 1.78317e-09
9.24605, 60.5412, 1.84106e-09
6.21834, 57.8515, 1.79559e-09
6.11225, 57.9257, 1.77946e-09
5.63312, 58.283, 1.59915e-09
5.68441, 58.2379, 1.62369e-09
5.93008, 58.0667, 1.71536e-09
5.83508, 58.1319, 1.68342e-09
5.79133, 58.1631, 1.66983e-09
5.87245, 58.1049, 1.69846e-09
5.73775, 58.2092, 1.64039e-09
5.97747, 58.0382, 1.72842e-09
6.73475, 57.4059, 1.93426e-09
6.77532, 57.3762, 1.94457e-09
6.90979, 57.2409, 1.98126e-09
6.86524, 57.2831, 1.97045e-09
6.96511, 57.1877, 1.99047e-09
6.82208, 57.3288, 1.95627e-09
6.35786, 57.739, 1.8445e-09
6.32416, 57.7625, 1.83227e-09
6.42092, 57.6867, 1.85199e-09
6.64876, 57.4883, 1.91235e-09
6.54618, 57.5712, 1.88672e-09
6.49923, 57.6206, 1.87144e-09
6.60608, 57.5231, 1.90122e-09
6.46058, 57.6444, 1.86026e-09
6.6774, 57.4627, 1.92112e-09
6.26904, 57.8022, 1.81775e-09
4.41663, 58.9908, 1.25898e-09
4.29445, 59.0498, 1.22987e-09
4.34742, 59.0153, 1.24576e-09
4.63468, 58.8745, 1.33057e-09
4.53088, 58.9245, 1.30772e-09
4.581, 58.8989, 1.31956e-09
4.45737, 58.9691, 1.27937e-09
3.95396, 59.1947, 1.1358e-09
3.85619, 59.2394, 1.10841e-09
3.9116, 59.2127, 1.12491e-09
4.17842, 59.0949, 1.2114e-09
4.07477, 59.1451, 1.17541e-09
4.13285, 59.1214, 1.19194e-09
4.00852, 59.1725, 1.15318e-09
4.23938, 59.0682, 1.22446e-09
5.2145, 58.5431, 1.46071e-09
5.2603, 58.515, 1.47344e-09
5.51751, 58.3589, 1.56361e-09
5.40899, 58.434, 1.51363e-09
5.379, 58.4441, 1.5026e-09
5.47411, 58.3791, 1.541e-09
5.32709, 58.477, 1.48455e-09
