  x,     y,   camp
    0.19816E+02,    0.50150E+01,    0.98800E-02
    0.44507E+02,    0.13244E+02,    0.99606E-02
    0.37237E+02,    0.59753E+01,    0.99387E-02
    0.26939E+02,    0.10990E+02,    0.99195E-02
    0.19828E+02,    0.94958E+02,    0.98800E-02
    0.13242E+02,    0.90043E+02,    0.98438E-02
    0.40506E+01,    0.36742E+01,    0.98122E-02
    0.28045E+01,    0.14991E+02,    0.97027E-02
    0.13224E+02,    0.99251E+01,    0.98439E-02
    0.68551E+01,    0.85843E+01,    0.98270E-02
    0.13713E+02,    0.18290E+02,    0.97682E-02
    0.25455E+02,    0.20067E+02,    0.99067E-02
    0.18820E+02,    0.22457E+02,    0.98492E-02
    0.18182E+02,    0.28307E+02,    0.97933E-02
    0.40506E+01,    0.96326E+02,    0.98121E-02
    0.68612E+01,    0.91412E+02,    0.98270E-02
    0.13750E+02,    0.81644E+02,    0.97683E-02
    0.45061E+02,    0.68883E+02,    0.10012E-01
    0.37227E+02,    0.94052E+02,    0.99387E-02
    0.44497E+02,    0.86784E+02,    0.99606E-02
    0.26941E+02,    0.89010E+02,    0.99194E-02
    0.39558E+02,    0.75548E+02,    0.99887E-02
    0.13923E+02,    0.29949E+02,    0.96410E-02
    0.10598E+02,    0.28497E+02,    0.95330E-02
    0.47754E+01,    0.18912E+02,    0.96608E-02
    0.19709E+01,    0.22404E+02,    0.94668E-02
    0.43767E+01,    0.25409E+02,    0.94571E-02
    0.89161E+01,    0.25373E+02,    0.94303E-02
    0.93148E+01,    0.20871E+02,    0.97104E-02
    0.39528E+02,    0.24574E+02,    0.99891E-02
    0.30773E+02,    0.26382E+02,    0.99786E-02
    0.28105E+01,    0.85005E+02,    0.97026E-02
    0.30819E+02,    0.73690E+02,    0.99769E-02
    0.18867E+02,    0.77432E+02,    0.98494E-02
    0.25473E+02,    0.79883E+02,    0.99072E-02
    0.13878E+02,    0.33714E+02,    0.96289E-02
    0.16170E+02,    0.35912E+02,    0.99198E-02
    0.21222E+02,    0.45545E+02,    0.10309E-01
    0.10077E+01,    0.28282E+02,    0.91287E-02
    0.34135E+01,    0.27854E+02,    0.90523E-02
    0.45021E+02,    0.31212E+02,    0.10012E-01
    0.27774E+02,    0.32630E+02,    0.99843E-02
    0.21552E+02,    0.39380E+02,    0.10204E-01
    0.21817E+02,    0.32165E+02,    0.99700E-02
    0.19850E+02,    0.36006E+02,    0.99387E-02
    0.46116E+02,    0.54063E+02,    0.10055E-01
    0.46116E+02,    0.45957E+02,    0.10056E-01
    0.41137E+02,    0.40620E+02,    0.10074E-01
    0.31677E+02,    0.52400E+02,    0.10139E-01
    0.34681E+02,    0.57469E+02,    0.10064E-01
    0.41177E+02,    0.59494E+02,    0.10073E-01
    0.93501E+01,    0.79081E+02,    0.97104E-02
    0.47923E+01,    0.81073E+02,    0.96610E-02
    0.18226E+02,    0.71566E+02,    0.97956E-02
    0.63160E+01,    0.35816E+02,    0.79277E-02
    0.16610E+02,    0.46447E+02,    0.11015E-01
    0.14922E+02,    0.38341E+02,    0.97749E-02
    0.54778E+01,    0.30250E+02,    0.90107E-02
    0.63508E+01,    0.34246E+02,    0.85815E-02
    0.81231E+01,    0.30929E+02,    0.91483E-02
    0.83067E+01,    0.33228E+02,    0.88329E-02
    0.10077E+01,    0.30739E+02,    0.85464E-02
    0.11491E+02,    0.35033E+02,    0.93078E-02
    0.95850E+01,    0.34615E+02,    0.92699E-02
    0.34209E+02,    0.42960E+02,    0.10066E-01
    0.25347E+02,    0.41416E+02,    0.10099E-01
    0.29602E+02,    0.38507E+02,    0.10125E-01
    0.31246E+02,    0.48658E+02,    0.10179E-01
    0.26044E+02,    0.47813E+02,    0.10237E-01
    0.24752E+02,    0.45024E+02,    0.10319E-01
    0.19818E+01,    0.77586E+02,    0.94667E-02
    0.43999E+01,    0.74565E+02,    0.94568E-02
    0.89577E+01,    0.74567E+02,    0.94293E-02
    0.21889E+02,    0.67620E+02,    0.99725E-02
    0.30119E+02,    0.61781E+02,    0.10112E-01
    0.27876E+02,    0.67293E+02,    0.99889E-02
    0.15081E+02,    0.46527E+02,    0.10967E-01
    0.15384E+02,    0.40277E+02,    0.10318E-01
    0.12618E+02,    0.38427E+02,    0.98792E-02
    0.11478E+02,    0.37317E+02,    0.93906E-02
    0.11774E+02,    0.39982E+02,    0.96040E-02
    0.99301E+01,    0.38203E+02,    0.92169E-02
    0.71802E+01,    0.36668E+02,    0.85312E-02
    0.84933E+01,    0.36485E+02,    0.84844E-02
    0.88510E+01,    0.37790E+02,    0.89633E-02
    0.66918E+01,    0.37847E+02,    0.76249E-02
    0.83274E+01,    0.66711E+02,    0.88284E-02
    0.81532E+01,    0.69014E+02,    0.91489E-02
