    0.00000E+00,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.50000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.50000E+01,    0.10000E+02,    0.00000E+00,    0.00000E+00
    0.00000E+00,    0.10000E+02,    0.00000E+00,    0.00000E+00
    0.00000E+00,    0.60010E+01,    0.00000E+00,    0.21112E-07
    0.10010E+01,    0.50000E+01,    0.17029E-06,    0.00000E+00
    0.00000E+00,    0.39990E+01,    0.00000E+00,   -0.18786E-07
    0.00000E+00,    0.40000E+01,    0.00000E+00,    0.11535E-07
    0.10000E+01,    0.50000E+01,    0.14031E-06,    0.00000E+00
    0.00000E+00,    0.60000E+01,    0.00000E+00,   -0.43770E-08
    0.50000E+00,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.10000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.15000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.20000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.25000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.30000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.35000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.40000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.45000E+01,    0.00000E+00,    0.00000E+00,    0.00000E+00
    0.50000E+01,    0.50000E+00,   -0.22706E-07,   -0.11105E-07
    0.50000E+01,    0.10000E+01,   -0.13596E-07,   -0.13756E-07
    0.50000E+01,    0.15000E+01,   -0.49328E-08,   -0.13113E-07
    0.50000E+01,    0.20000E+01,    0.24085E-08,   -0.93891E-08
    0.50000E+01,    0.25000E+01,    0.77886E-08,   -0.50124E-08
    0.50000E+01,    0.30000E+01,    0.10675E-07,   -0.21248E-09
    0.50000E+01,    0.35000E+01,    0.11870E-07,    0.38741E-08
    0.50000E+01,    0.40000E+01,    0.12219E-07,    0.76550E-08
    0.50000E+01,    0.45000E+01,    0.12087E-07,    0.10817E-07
    0.50000E+01,    0.50000E+01,    0.12104E-07,    0.13607E-07
    0.50000E+01,    0.55000E+01,    0.11849E-07,    0.15663E-07
    0.50000E+01,    0.60000E+01,    0.91387E-08,    0.17805E-07
    0.50000E+01,    0.65000E+01,    0.66252E-08,    0.18902E-07
    0.50000E+01,    0.70000E+01,    0.22538E-08,    0.19769E-07
    0.50000E+01,    0.75000E+01,   -0.43664E-08,    0.21168E-07
    0.50000E+01,    0.80000E+01,   -0.11332E-07,    0.20405E-07
    0.50000E+01,    0.85000E+01,   -0.19085E-07,    0.18754E-07
    0.50000E+01,    0.90000E+01,   -0.24391E-07,    0.15517E-07
    0.50000E+01,    0.95000E+01,   -0.28301E-07,    0.11218E-07
