  x,     y,    Z,    camp
    0.22382E+01,    0.45273E+01,    0.00000E+00,    0.22176E-02
    0.22069E+01,    0.45148E+01,    0.00000E+00,    0.22341E-02
    0.22196E+01,    0.44191E+01,    0.00000E+00,    0.22963E-02
    0.22509E+01,    0.44316E+01,    0.00000E+00,    0.22727E-02
    0.22584E+01,    0.43753E+01,    0.00000E+00,    0.23317E-02
    0.22888E+01,    0.43954E+01,    0.00000E+00,    0.22938E-02
    0.22737E+01,    0.45079E+01,    0.00000E+00,    0.22399E-02
    0.23050E+01,    0.45204E+01,    0.00000E+00,    0.22206E-02
    0.23125E+01,    0.44642E+01,    0.00000E+00,    0.22669E-02
    0.23429E+01,    0.44842E+01,    0.00000E+00,    0.22359E-02
    0.23320E+01,    0.45650E+01,    0.00000E+00,    0.21993E-02
    0.23007E+01,    0.45525E+01,    0.00000E+00,    0.22170E-02
    0.23030E+01,    0.46161E+01,    0.00000E+00,    0.21876E-02
    0.22806E+01,    0.46188E+01,    0.00000E+00,    0.21793E-02
    0.23018E+01,    0.46446E+01,    0.00000E+00,    0.21851E-02
    0.22794E+01,    0.46472E+01,    0.00000E+00,    0.21769E-02
    0.22605E+01,    0.46050E+01,    0.00000E+00,    0.21939E-02
    0.22650E+01,    0.45723E+01,    0.00000E+00,    0.21977E-02
    0.22338E+01,    0.45596E+01,    0.00000E+00,    0.22129E-02
    0.22065E+01,    0.45785E+01,    0.00000E+00,    0.21959E-02
    0.21647E+01,    0.45831E+01,    0.00000E+00,    0.21881E-02
    0.22026E+01,    0.46072E+01,    0.00000E+00,    0.21925E-02
    0.21747E+01,    0.46101E+01,    0.00000E+00,    0.21834E-02
    0.22924E+01,    0.46915E+01,    0.00000E+00,    0.21681E-02
    0.23348E+01,    0.46643E+01,    0.00000E+00,    0.21783E-02
    0.22714E+01,    0.46848E+01,    0.00000E+00,    0.21713E-02
    0.22693E+01,    0.46607E+01,    0.00000E+00,    0.21729E-02
    0.22429E+01,    0.46920E+01,    0.00000E+00,    0.21598E-02
    0.23276E+01,    0.45973E+01,    0.00000E+00,    0.21967E-02
    0.23666E+01,    0.45530E+01,    0.00000E+00,    0.22161E-02
    0.23938E+01,    0.45758E+01,    0.00000E+00,    0.21886E-02
    0.23766E+01,    0.44800E+01,    0.00000E+00,    0.22529E-02
    0.23396E+01,    0.45086E+01,    0.00000E+00,    0.22401E-02
    0.23962E+01,    0.44975E+01,    0.00000E+00,    0.22269E-02
    0.23929E+01,    0.45218E+01,    0.00000E+00,    0.22329E-02
    0.24147E+01,    0.44982E+01,    0.00000E+00,    0.22270E-02
    0.24271E+01,    0.45188E+01,    0.00000E+00,    0.22191E-02
    0.24283E+01,    0.44796E+01,    0.00000E+00,    0.22386E-02
    0.24455E+01,    0.44895E+01,    0.00000E+00,    0.22276E-02
    0.24460E+01,    0.45165E+01,    0.00000E+00,    0.22275E-02
    0.24776E+01,    0.45016E+01,    0.00000E+00,    0.22113E-02
    0.24678E+01,    0.45230E+01,    0.00000E+00,    0.22149E-02
    0.23699E+01,    0.45287E+01,    0.00000E+00,    0.22118E-02
    0.23158E+01,    0.44398E+01,    0.00000E+00,    0.22630E-02
    0.23528E+01,    0.44113E+01,    0.00000E+00,    0.22791E-02
    0.22855E+01,    0.44197E+01,    0.00000E+00,    0.22974E-02
    0.23225E+01,    0.43912E+01,    0.00000E+00,    0.23153E-02
    0.23865E+01,    0.44070E+01,    0.00000E+00,    0.22974E-02
    0.23495E+01,    0.44356E+01,    0.00000E+00,    0.22823E-02
    0.24062E+01,    0.44245E+01,    0.00000E+00,    0.22672E-02
    0.24029E+01,    0.44488E+01,    0.00000E+00,    0.22721E-02
    0.24409E+01,    0.44019E+01,    0.00000E+00,    0.22836E-02
    0.24249E+01,    0.44187E+01,    0.00000E+00,    0.22833E-02
    0.24647E+01,    0.44090E+01,    0.00000E+00,    0.22676E-02
    0.24872E+01,    0.43959E+01,    0.00000E+00,    0.22862E-02
    0.24714E+01,    0.44513E+01,    0.00000E+00,    0.22474E-02
    0.25138E+01,    0.44233E+01,    0.00000E+00,    0.22477E-02
    0.25039E+01,    0.44562E+01,    0.00000E+00,    0.22583E-02
    0.23799E+01,    0.44557E+01,    0.00000E+00,    0.22495E-02
    0.25890E+01,    0.45746E+01,    0.00000E+00,    0.21788E-02
    0.24311E+01,    0.46208E+01,    0.00000E+00,    0.21789E-02
    0.24545E+01,    0.46616E+01,    0.00000E+00,    0.21459E-02
    0.24302E+01,    0.45926E+01,    0.00000E+00,    0.21705E-02
    0.24414E+01,    0.46350E+01,    0.00000E+00,    0.21644E-02
    0.24626E+01,    0.45735E+01,    0.00000E+00,    0.21909E-02
    0.24735E+01,    0.46232E+01,    0.00000E+00,    0.21548E-02
    0.24944E+01,    0.46015E+01,    0.00000E+00,    0.21759E-02
    0.24497E+01,    0.45897E+01,    0.00000E+00,    0.21848E-02
    0.24890E+01,    0.45766E+01,    0.00000E+00,    0.21885E-02
    0.24551E+01,    0.46145E+01,    0.00000E+00,    0.21754E-02
    0.24747E+01,    0.46545E+01,    0.00000E+00,    0.21520E-02
    0.25254E+01,    0.46544E+01,    0.00000E+00,    0.21227E-02
    0.25148E+01,    0.46903E+01,    0.00000E+00,    0.21243E-02
    0.25803E+01,    0.44811E+01,    0.00000E+00,    0.22628E-02
