  x,     y,    Z,    camp
    0.49167E+01,    0.25000E+00,    0.00000E+00,    0.59610E-01
    0.47500E+01,    0.83333E-01,    0.00000E+00,    0.59602E-01
    0.48125E+01,    0.97917E+00,    0.00000E+00,    0.59637E-01
    0.49375E+01,    0.77083E+00,    0.00000E+00,    0.59634E-01
    0.45625E+01,    0.89583E+00,    0.00000E+00,    0.59654E-01
    0.45417E+01,    0.12500E+00,    0.00000E+00,    0.59591E-01
    0.42917E+01,    0.41667E-01,    0.00000E+00,    0.59580E-01
    0.47708E+01,    0.60417E+00,    0.00000E+00,    0.59634E-01
    0.45417E+01,    0.29167E+00,    0.00000E+00,    0.59595E-01
    0.42917E+01,    0.54167E+00,    0.00000E+00,    0.59590E-01
    0.47500E+01,    0.41667E+00,    0.00000E+00,    0.59601E-01
    0.45208E+01,    0.68750E+00,    0.00000E+00,    0.59604E-01
    0.43333E+01,    0.33333E+00,    0.00000E+00,    0.59587E-01
    0.41667E+01,    0.16667E+00,    0.00000E+00,    0.59559E-01
    0.41042E+01,    0.56250E+00,    0.00000E+00,    0.59578E-01
    0.38958E+01,    0.43750E+00,    0.00000E+00,    0.59556E-01
    0.41139E+01,    0.96117E+00,    0.00000E+00,    0.59621E-01
    0.40657E+01,    0.73706E+00,    0.00000E+00,    0.59572E-01
    0.37633E+01,    0.11855E+01,    0.00000E+00,    0.59555E-01
    0.38720E+01,    0.81277E+00,    0.00000E+00,    0.59559E-01
    0.35119E+01,    0.11258E+01,    0.00000E+00,    0.59562E-01
    0.39202E+01,    0.10369E+01,    0.00000E+00,    0.59611E-01
    0.35080E+01,    0.89909E+00,    0.00000E+00,    0.59497E-01
    0.37112E+01,    0.73472E+00,    0.00000E+00,    0.59537E-01
    0.39167E+01,    0.25000E+00,    0.00000E+00,    0.59546E-01
    0.37113E+01,    0.22672E+01,    0.00000E+00,    0.59740E-01
    0.33476E+01,    0.19421E+01,    0.00000E+00,    0.59569E-01
    0.36493E+01,    0.25461E+01,    0.00000E+00,    0.59838E-01
    0.46536E+01,    0.19743E+01,    0.00000E+00,    0.59808E-01
    0.43072E+01,    0.19485E+01,    0.00000E+00,    0.59809E-01
    0.37083E+01,    0.12500E+00,    0.00000E+00,    0.59501E-01
    0.34792E+01,    0.18750E+00,    0.00000E+00,    0.59487E-01
    0.32708E+01,    0.62500E-01,    0.00000E+00,    0.59445E-01
    0.30533E+01,    0.43015E+00,    0.00000E+00,    0.59410E-01
    0.29100E+01,    0.10404E+01,    0.00000E+00,    0.59392E-01
    0.27564E+01,    0.81618E+00,    0.00000E+00,    0.59284E-01
    0.27097E+01,    0.12066E+01,    0.00000E+00,    0.59290E-01
    0.23628E+01,    0.10407E+01,    0.00000E+00,    0.59203E-01
