 X,    Y,   CNA  
    0.50000E+02,    0.90910E+02,    0.52945E+08
    0.50000E+02,    0.10000E+03,    0.34046E+07
    0.40000E+02,    0.10000E+03,    0.36953E+07
    0.30000E+02,    0.10000E+03,    0.41279E+07
    0.20000E+02,    0.10000E+03,    0.46791E+07
    0.10000E+02,    0.10000E+03,    0.46833E+07
    0.74800E+01,    0.93610E+02,    0.77850E+08
    0.33500E+01,    0.94260E+02,    0.44080E+08
    0.25900E+01,    0.93180E+02,    0.55999E+08
    0.22900E+01,    0.91640E+02,    0.74414E+08
    0.24900E+01,    0.89890E+02,    0.87354E+08
    0.23200E+01,    0.87770E+02,    0.94028E+08
    0.21700E+01,    0.85770E+02,    0.96053E+08
    0.20400E+01,    0.83820E+02,    0.96749E+08
    0.20100E+01,    0.81910E+02,    0.97074E+08
    0.20100E+01,    0.79960E+02,    0.97344E+08
    0.20200E+01,    0.78000E+02,    0.97673E+08
    0.20400E+01,    0.76000E+02,    0.98130E+08
    0.20600E+01,    0.74000E+02,    0.98794E+08
    0.20800E+01,    0.71970E+02,    0.99779E+08
    0.21000E+01,    0.69940E+02,    0.10132E+09
    0.21300E+01,    0.67880E+02,    0.10378E+09
    0.21700E+01,    0.65750E+02,    0.10906E+09
    0.22800E+01,    0.63340E+02,    0.11745E+09
    0.14700E+01,    0.61230E+02,    0.10604E+09
    0.13900E+01,    0.60510E+02,    0.46345E+08
    0.17100E+01,    0.60340E+02,    0.35205E+08
    0.21500E+01,    0.60230E+02,    0.33562E+08
    0.26400E+01,    0.60180E+02,    0.43728E+08
    0.30900E+01,    0.59980E+02,    0.37079E+08
    0.35700E+01,    0.59840E+02,    0.41545E+08
    0.40700E+01,    0.59740E+02,    0.52636E+08
    0.45400E+01,    0.59450E+02,    0.46557E+08
    0.50300E+01,    0.59180E+02,    0.45968E+08
    0.55000E+01,    0.58880E+02,    0.44324E+08
    0.58700E+01,    0.58570E+02,    0.38957E+08
    0.62500E+01,    0.58310E+02,    0.40254E+08
    0.66700E+01,    0.58030E+02,    0.45352E+08
    0.70700E+01,    0.57710E+02,    0.50927E+08
    0.74400E+01,    0.57380E+02,    0.57719E+08
    0.78000E+01,    0.57050E+02,    0.65825E+08
    0.81900E+01,    0.56730E+02,    0.73058E+08
    0.86000E+01,    0.56360E+02,    0.78888E+08
    0.90800E+01,    0.55870E+02,    0.82733E+08
    0.91900E+01,    0.55260E+02,    0.90586E+08
    0.93800E+01,    0.54770E+02,    0.97894E+08
    0.95700E+01,    0.54290E+02,    0.10424E+09
    0.97500E+01,    0.53820E+02,    0.10886E+09
    0.99200E+01,    0.53360E+02,    0.11219E+09
    0.10110E+02,    0.52930E+02,    0.11211E+09
    0.10430E+02,    0.52500E+02,    0.10517E+09
