  x,     y,    camp
    0.42100E+01,    0.65125E+01,    0.49117E-01
    0.32225E+01,    0.90225E+01,    0.49058E-01
    0.49675E+01,    0.78525E+01,    0.49111E-01
    0.31475E+01,    0.76325E+01,    0.49093E-01
    0.34000E+01,    0.10913E+02,    0.48965E-01
    0.12883E+02,    0.13930E+02,    0.49069E-01
    0.17205E+02,    0.13015E+02,    0.49272E-01
    0.15227E+02,    0.11975E+02,    0.49236E-01
    0.14988E+02,    0.14228E+02,    0.49155E-01
    0.10250E+02,    0.12670E+02,    0.49011E-01
    0.11600E+02,    0.96925E+01,    0.49161E-01
    0.67850E+01,    0.93900E+01,    0.49112E-01
    0.55475E+01,    0.11330E+02,    0.48979E-01
    0.75600E+01,    0.11882E+02,    0.48997E-01
    0.50150E+01,    0.17133E+02,    0.48541E-01
    0.69250E+01,    0.17153E+02,    0.48616E-01
    0.30350E+01,    0.17075E+02,    0.48493E-01
    0.72150E+01,    0.13810E+02,    0.48882E-01
    0.69275E+01,    0.15482E+02,    0.48753E-01
    0.50675E+01,    0.15275E+02,    0.48716E-01
    0.52525E+01,    0.13377E+02,    0.48860E-01
    0.30800E+01,    0.15120E+02,    0.48684E-01
    0.31975E+01,    0.13105E+02,    0.48839E-01
    0.91350E+01,    0.14515E+02,    0.48880E-01
    0.87475E+01,    0.17035E+02,    0.48715E-01
    0.98600E+01,    0.15965E+02,    0.48824E-01
    0.84975E+01,    0.15712E+02,    0.48785E-01
    0.11930E+02,    0.16555E+02,    0.48909E-01
    0.17590E+02,    0.16508E+02,    0.49217E-01
    0.14753E+02,    0.16890E+02,    0.49046E-01
    0.23933E+02,    0.16623E+02,    0.49493E-01
    0.20610E+02,    0.16405E+02,    0.49357E-01
    0.27475E+02,    0.16672E+02,    0.49608E-01
    0.20100E+02,    0.12822E+02,    0.49371E-01
    0.27027E+02,    0.12800E+02,    0.49578E-01
    0.23198E+02,    0.10870E+02,    0.49492E-01
    0.23625E+02,    0.13610E+02,    0.49488E-01
    0.36750E+02,    0.16362E+02,    0.49772E-01
    0.32462E+02,    0.12430E+02,    0.49688E-01
    0.31580E+02,    0.17220E+02,    0.49719E-01
    0.30750E+01,    0.25025E+02,    0.46932E-01
    0.30900E+01,    0.27073E+02,    0.46122E-01
    0.30550E+01,    0.23005E+02,    0.47508E-01
    0.50775E+01,    0.22995E+02,    0.47665E-01
    0.51750E+01,    0.27110E+02,    0.46466E-01
    0.51200E+01,    0.25028E+02,    0.47158E-01
    0.30400E+01,    0.21008E+02,    0.47933E-01
    0.50500E+01,    0.20995E+02,    0.48041E-01
    0.30325E+01,    0.19030E+02,    0.48250E-01
    0.50300E+01,    0.19032E+02,    0.48327E-01
    0.90975E+01,    0.24912E+02,    0.47783E-01
    0.93250E+01,    0.26957E+02,    0.47438E-01
    0.90125E+01,    0.22902E+02,    0.48092E-01
    0.70725E+01,    0.22960E+02,    0.47865E-01
    0.72575E+01,    0.27075E+02,    0.46914E-01
    0.71400E+01,    0.24990E+02,    0.47461E-01
    0.90325E+01,    0.18795E+02,    0.48593E-01
    0.89800E+01,    0.20885E+02,    0.48351E-01
    0.70350E+01,    0.20953E+02,    0.48190E-01
    0.70075E+01,    0.18980E+02,    0.48437E-01
    0.14953E+02,    0.25867E+02,    0.48670E-01
    0.15125E+02,    0.22873E+02,    0.48831E-01
    0.14872E+02,    0.19925E+02,    0.48941E-01
    0.10880E+02,    0.22862E+02,    0.48310E-01
    0.12790E+02,    0.22855E+02,    0.48573E-01
    0.12553E+02,    0.20485E+02,    0.48717E-01
    0.11200E+02,    0.18985E+02,    0.48706E-01
    0.10815E+02,    0.20898E+02,    0.48514E-01
    0.11380E+02,    0.26620E+02,    0.47927E-01
    0.12603E+02,    0.25205E+02,    0.48324E-01
    0.10902E+02,    0.24808E+02,    0.48077E-01
    0.17898E+02,    0.25927E+02,    0.49042E-01
    0.20795E+02,    0.25835E+02,    0.49352E-01
    0.17910E+02,    0.22840E+02,    0.49099E-01
    0.20855E+02,    0.22828E+02,    0.49330E-01
    0.17793E+02,    0.19735E+02,    0.49155E-01
    0.20812E+02,    0.19695E+02,    0.49343E-01
    0.24003E+02,    0.19835E+02,    0.49497E-01
    0.23805E+02,    0.26015E+02,    0.49565E-01
    0.23928E+02,    0.22957E+02,    0.49524E-01
    0.27075E+02,    0.23185E+02,    0.49656E-01
    0.27097E+02,    0.26395E+02,    0.49746E-01
    0.27335E+02,    0.20108E+02,    0.49633E-01
    0.30785E+02,    0.20787E+02,    0.49745E-01
    0.30670E+02,    0.26072E+02,    0.49816E-01
    0.32523E+02,    0.23392E+02,    0.49827E-01
    0.29942E+02,    0.23335E+02,    0.49746E-01
    0.37237E+02,    0.23585E+02,    0.49898E-01
    0.74075E+01,    0.41670E+02,    0.46016E-01
    0.71050E+01,    0.42008E+02,    0.46765E-01
    0.67525E+01,    0.41682E+02,    0.44439E-01
    0.70500E+01,    0.41375E+02,    0.44023E-01
    0.78150E+01,    0.41965E+02,    0.48008E-01
    0.74775E+01,    0.42340E+02,    0.49129E-01
    0.88200E+01,    0.43190E+02,    0.54152E-01
    0.84900E+01,    0.43468E+02,    0.55448E-01
    0.81750E+01,    0.43100E+02,    0.53561E-01
    0.85350E+01,    0.42805E+02,    0.52267E-01
    0.78400E+01,    0.42710E+02,    0.51393E-01
    0.82125E+01,    0.42352E+02,    0.50040E-01
    0.92075E+01,    0.42957E+02,    0.53110E-01
    0.94350E+01,    0.42532E+02,    0.51969E-01
    0.89350E+01,    0.42562E+02,    0.51637E-01
    0.86800E+01,    0.42010E+02,    0.49491E-01
    0.93525E+01,    0.41825E+02,    0.49857E-01
    0.85050E+01,    0.41117E+02,    0.46932E-01
