 X,    Y,   CH  
    0.50000E+02,    0.90910E+02,    0.60141E+02
    0.50000E+02,    0.10000E+03,    0.60200E+02
    0.40000E+02,    0.10000E+03,    0.60200E+02
    0.30000E+02,    0.10000E+03,    0.60200E+02
    0.20000E+02,    0.10000E+03,    0.60200E+02
    0.10000E+02,    0.10000E+03,    0.60200E+02
    0.74800E+01,    0.93610E+02,    0.60316E+02
    0.33500E+01,    0.94260E+02,    0.60272E+02
    0.25900E+01,    0.93180E+02,    0.60292E+02
    0.22900E+01,    0.91640E+02,    0.60324E+02
    0.24900E+01,    0.89890E+02,    0.60443E+02
    0.23200E+01,    0.87770E+02,    0.60584E+02
    0.21700E+01,    0.85770E+02,    0.60752E+02
    0.20400E+01,    0.83820E+02,    0.60975E+02
    0.20100E+01,    0.81910E+02,    0.61248E+02
    0.20100E+01,    0.79960E+02,    0.61610E+02
    0.20200E+01,    0.78000E+02,    0.62089E+02
    0.20400E+01,    0.76000E+02,    0.62752E+02
    0.20600E+01,    0.74000E+02,    0.63694E+02
    0.20800E+01,    0.71970E+02,    0.64956E+02
    0.21000E+01,    0.69940E+02,    0.67772E+02
    0.21300E+01,    0.67880E+02,    0.65103E+02
    0.21700E+01,    0.65750E+02,    0.12377E+03
    0.22800E+01,    0.63340E+02,    0.25001E+03
    0.14700E+01,    0.61230E+02,    0.00000E+00
    0.13900E+01,    0.60510E+02,    0.00000E+00
    0.17100E+01,    0.60340E+02,    0.00000E+00
    0.21500E+01,    0.60230E+02,    0.00000E+00
    0.26400E+01,    0.60180E+02,    0.00000E+00
    0.30900E+01,    0.59980E+02,    0.00000E+00
    0.35700E+01,    0.59840E+02,    0.00000E+00
    0.40700E+01,    0.59740E+02,    0.00000E+00
    0.45400E+01,    0.59450E+02,    0.00000E+00
    0.50300E+01,    0.59180E+02,    0.00000E+00
    0.55000E+01,    0.58880E+02,    0.00000E+00
    0.58700E+01,    0.58570E+02,    0.00000E+00
    0.62500E+01,    0.58310E+02,    0.00000E+00
    0.66700E+01,    0.58030E+02,    0.00000E+00
    0.70700E+01,    0.57710E+02,    0.00000E+00
    0.74400E+01,    0.57380E+02,    0.00000E+00
    0.78000E+01,    0.57050E+02,    0.00000E+00
    0.81900E+01,    0.56730E+02,    0.00000E+00
    0.86000E+01,    0.56360E+02,    0.00000E+00
    0.90800E+01,    0.55870E+02,    0.00000E+00
    0.91900E+01,    0.55260E+02,    0.00000E+00
    0.93800E+01,    0.54770E+02,    0.00000E+00
    0.95700E+01,    0.54290E+02,    0.43078E+03
    0.97500E+01,    0.53820E+02,    0.13024E+04
    0.99200E+01,    0.53360E+02,    0.16318E+04
    0.10110E+02,    0.52930E+02,    0.17367E+04
    0.10430E+02,    0.52500E+02,    0.12297E+04
    0.10510E+02,    0.51860E+02,    0.14804E+04
    0.10560E+02,    0.51280E+02,    0.14774E+04
    0.10580E+02,    0.50740E+02,    0.13712E+04
    0.10570E+02,    0.50210E+02,    0.12226E+04
    0.10550E+02,    0.49690E+02,    0.10432E+04
    0.10510E+02,    0.49180E+02,    0.86718E+03
    0.10450E+02,    0.48670E+02,    0.70521E+03
    0.10380E+02,    0.48160E+02,    0.56647E+03
    0.10290E+02,    0.47650E+02,    0.45111E+03
    0.10170E+02,    0.47130E+02,    0.35530E+03
    0.10020E+02,    0.46610E+02,    0.27804E+03
    0.98400E+01,    0.46090E+02,    0.21628E+03
    0.95800E+01,    0.45670E+02,    0.17167E+03
    0.94000E+01,    0.45220E+02,    0.13972E+03
    0.92000E+01,    0.44710E+02,    0.11096E+03
    0.89500E+01,    0.44120E+02,    0.84496E+02
    0.85000E+01,    0.43800E+02,    0.67170E+02
    0.81700E+01,    0.43440E+02,    0.55770E+02
    0.78400E+01,    0.43070E+02,    0.47251E+02
    0.74900E+01,    0.42690E+02,    0.42372E+02
    0.71300E+01,    0.42340E+02,    0.43248E+02
    0.67600E+01,    0.42000E+02,    0.54205E+02
    0.64200E+01,    0.41650E+02,    0.81724E+02
    0.61200E+01,    0.41190E+02,    0.14008E+03
    0.55300E+01,    0.40880E+02,    0.30308E+03
    0.50000E+01,    0.40600E+02,    0.60006E+03
    0.44700E+01,    0.40390E+02,    0.10881E+04
    0.39800E+01,    0.40110E+02,    0.17751E+04
    0.35000E+01,    0.40070E+02,    0.27226E+04
    0.30300E+01,    0.39950E+02,    0.39066E+04
    0.25800E+01,    0.39750E+02,    0.48170E+04
    0.21100E+01,    0.39720E+02,    0.63036E+04
    0.16800E+01,    0.39630E+02,    0.72515E+04
    0.13600E+01,    0.39460E+02,    0.72604E+04
    0.13900E+01,    0.38710E+02,    0.37405E+04
    0.20200E+01,    0.36550E+02,    0.12860E+04
    0.19500E+01,    0.34220E+02,    0.71206E+03
    0.19700E+01,    0.32140E+02,    0.44287E+03
    0.20300E+01,    0.30110E+02,    0.29208E+03
    0.20600E+01,    0.28060E+02,    0.20172E+03
    0.20500E+01,    0.26030E+02,    0.14546E+03
    0.20500E+01,    0.24010E+02,    0.10952E+03
    0.20300E+01,    0.22000E+02,    0.86310E+02
    0.20300E+01,    0.20020E+02,    0.71394E+02
    0.20200E+01,    0.18020E+02,    0.61927E+02
    0.20400E+01,    0.16070E+02,    0.56296E+02
    0.20900E+01,    0.14060E+02,    0.53164E+02
    0.21800E+01,    0.12040E+02,    0.51778E+02
    0.22600E+01,    0.99500E+01,    0.51727E+02
    0.20900E+01,    0.82700E+01,    0.52059E+02
    0.23900E+01,    0.67800E+01,    0.52412E+02
    0.31200E+01,    0.57300E+01,    0.52841E+02
    0.69700E+01,    0.63700E+01,    0.57480E+02
    0.17790E+02,    0.96500E+01,    0.60014E+02
    0.28170E+02,    0.93600E+01,    0.61038E+02
    0.38550E+02,    0.10610E+02,    0.60776E+02
    0.40750E+02,    0.19280E+02,    0.60654E+02
    0.40580E+02,    0.28190E+02,    0.60532E+02
    0.40800E+02,    0.36670E+02,    0.60194E+02
    0.41780E+02,    0.44870E+02,    0.59871E+02
    0.41340E+02,    0.53300E+02,    0.59694E+02
    0.40710E+02,    0.62540E+02,    0.59708E+02
    0.41260E+02,    0.71900E+02,    0.59816E+02
    0.40920E+02,    0.80550E+02,    0.60062E+02
    0.38650E+02,    0.89370E+02,    0.60161E+02
    0.28400E+02,    0.90830E+02,    0.60169E+02
    0.18530E+02,    0.91200E+02,    0.60284E+02
    0.37810E+02,    0.46200E+02,    0.59693E+02
    0.35150E+02,    0.46520E+02,    0.59494E+02
    0.32920E+02,    0.46680E+02,    0.59302E+02
    0.30860E+02,    0.46990E+02,    0.59093E+02
    0.29470E+02,    0.46890E+02,    0.58938E+02
    0.28330E+02,    0.46900E+02,    0.58766E+02
