 X,    Y,   CCL  
    0.50000E+02,    0.90910E+02,    0.14756E+09
    0.50000E+02,    0.10000E+03,    0.00000E+00
    0.40000E+02,    0.10000E+03,    0.00000E+00
    0.30000E+02,    0.10000E+03,    0.00000E+00
    0.20000E+02,    0.10000E+03,    0.00000E+00
    0.10000E+02,    0.10000E+03,    0.00000E+00
    0.74800E+01,    0.93610E+02,    0.11617E+09
    0.33500E+01,    0.94260E+02,    0.10255E+09
    0.25900E+01,    0.93180E+02,    0.93713E+08
    0.22900E+01,    0.91640E+02,    0.95496E+08
    0.24900E+01,    0.89890E+02,    0.95551E+08
    0.23200E+01,    0.87770E+02,    0.95260E+08
    0.21700E+01,    0.85770E+02,    0.94842E+08
    0.20400E+01,    0.83820E+02,    0.94410E+08
    0.20100E+01,    0.81910E+02,    0.93825E+08
    0.20100E+01,    0.79960E+02,    0.93021E+08
    0.20200E+01,    0.78000E+02,    0.91887E+08
    0.20400E+01,    0.76000E+02,    0.90279E+08
    0.20600E+01,    0.74000E+02,    0.88035E+08
    0.20800E+01,    0.71970E+02,    0.85054E+08
    0.21000E+01,    0.69940E+02,    0.81629E+08
    0.21300E+01,    0.67880E+02,    0.79352E+08
    0.21700E+01,    0.65750E+02,    0.83174E+08
    0.22800E+01,    0.63340E+02,    0.10904E+09
    0.14700E+01,    0.61230E+02,    0.27480E+09
    0.13900E+01,    0.60510E+02,    0.57840E+09
    0.17100E+01,    0.60340E+02,    0.59402E+09
    0.21500E+01,    0.60230E+02,    0.53939E+09
    0.26400E+01,    0.60180E+02,    0.42548E+09
    0.30900E+01,    0.59980E+02,    0.36316E+09
    0.35700E+01,    0.59840E+02,    0.26969E+09
    0.40700E+01,    0.59740E+02,    0.18947E+09
    0.45400E+01,    0.59450E+02,    0.13701E+09
    0.50300E+01,    0.59180E+02,    0.97082E+08
    0.55000E+01,    0.58880E+02,    0.71979E+08
    0.58700E+01,    0.58570E+02,    0.59369E+08
    0.62500E+01,    0.58310E+02,    0.53551E+08
    0.66700E+01,    0.58030E+02,    0.49579E+08
    0.70700E+01,    0.57710E+02,    0.47019E+08
    0.74400E+01,    0.57380E+02,    0.46208E+08
    0.78000E+01,    0.57050E+02,    0.47178E+08
    0.81900E+01,    0.56730E+02,    0.50211E+08
    0.86000E+01,    0.56360E+02,    0.54612E+08
    0.90800E+01,    0.55870E+02,    0.61509E+08
    0.91900E+01,    0.55260E+02,    0.60086E+08
    0.93800E+01,    0.54770E+02,    0.62729E+08
    0.95700E+01,    0.54290E+02,    0.66459E+08
    0.97500E+01,    0.53820E+02,    0.71024E+08
    0.99200E+01,    0.53360E+02,    0.76307E+08
    0.10110E+02,    0.52930E+02,    0.83116E+08
    0.10430E+02,    0.52500E+02,    0.93010E+08
    0.10510E+02,    0.51860E+02,    0.97193E+08
    0.10560E+02,    0.51280E+02,    0.10106E+09
    0.10580E+02,    0.50740E+02,    0.10445E+09
    0.10570E+02,    0.50210E+02,    0.10712E+09
    0.10550E+02,    0.49690E+02,    0.10892E+09
    0.10510E+02,    0.49180E+02,    0.11010E+09
    0.10450E+02,    0.48670E+02,    0.11056E+09
    0.10380E+02,    0.48160E+02,    0.10930E+09
    0.10290E+02,    0.47650E+02,    0.10682E+09
    0.10170E+02,    0.47130E+02,    0.10345E+09
    0.10020E+02,    0.46610E+02,    0.99087E+08
    0.98400E+01,    0.46090E+02,    0.94475E+08
    0.95800E+01,    0.45670E+02,    0.93907E+08
    0.94000E+01,    0.45220E+02,    0.87582E+08
    0.92000E+01,    0.44710E+02,    0.80164E+08
    0.89500E+01,    0.44120E+02,    0.74036E+08
    0.85000E+01,    0.43800E+02,    0.67553E+08
    0.81700E+01,    0.43440E+02,    0.59874E+08
    0.78400E+01,    0.43070E+02,    0.52849E+08
    0.74900E+01,    0.42690E+02,    0.47770E+08
    0.71300E+01,    0.42340E+02,    0.44757E+08
    0.67600E+01,    0.42000E+02,    0.44400E+08
    0.64200E+01,    0.41650E+02,    0.48851E+08
    0.61200E+01,    0.41190E+02,    0.64421E+08
    0.55300E+01,    0.40880E+02,    0.59345E+08
    0.50000E+01,    0.40600E+02,    0.55937E+08
    0.44700E+01,    0.40390E+02,    0.47340E+08
    0.39800E+01,    0.40110E+02,    0.46038E+08
    0.35000E+01,    0.40070E+02,    0.17519E+08
    0.30300E+01,    0.39950E+02,    0.00000E+00
    0.25800E+01,    0.39750E+02,    0.52439E+07
    0.21100E+01,    0.39720E+02,    0.00000E+00
    0.16800E+01,    0.39630E+02,    0.00000E+00
    0.13600E+01,    0.39460E+02,    0.67579E+07
    0.13900E+01,    0.38710E+02,    0.10396E+09
    0.20200E+01,    0.36550E+02,    0.12857E+09
    0.19500E+01,    0.34220E+02,    0.11315E+09
    0.19700E+01,    0.32140E+02,    0.10640E+09
    0.20300E+01,    0.30110E+02,    0.10300E+09
    0.20600E+01,    0.28060E+02,    0.10100E+09
    0.20500E+01,    0.26030E+02,    0.99658E+08
    0.20500E+01,    0.24010E+02,    0.98764E+08
    0.20300E+01,    0.22000E+02,    0.98158E+08
    0.20300E+01,    0.20020E+02,    0.97724E+08
    0.20200E+01,    0.18020E+02,    0.97410E+08
    0.20400E+01,    0.16070E+02,    0.97162E+08
    0.20900E+01,    0.14060E+02,    0.96952E+08
    0.21800E+01,    0.12040E+02,    0.96772E+08
    0.22600E+01,    0.99500E+01,    0.96640E+08
    0.20900E+01,    0.82700E+01,    0.96498E+08
    0.23900E+01,    0.67800E+01,    0.96454E+08
    0.31200E+01,    0.57300E+01,    0.96420E+08
    0.69700E+01,    0.63700E+01,    0.96399E+08
    0.17790E+02,    0.96500E+01,    0.96363E+08
    0.28170E+02,    0.93600E+01,    0.96301E+08
    0.38550E+02,    0.10610E+02,    0.96283E+08
    0.40750E+02,    0.19280E+02,    0.96185E+08
    0.40580E+02,    0.28190E+02,    0.96141E+08
    0.40800E+02,    0.36670E+02,    0.96142E+08
    0.41780E+02,    0.44870E+02,    0.96175E+08
    0.41340E+02,    0.53300E+02,    0.96338E+08
    0.40710E+02,    0.62540E+02,    0.96432E+08
    0.41260E+02,    0.71900E+02,    0.97124E+08
    0.40920E+02,    0.80550E+02,    0.92717E+08
    0.38650E+02,    0.89370E+02,    0.11564E+09
    0.28400E+02,    0.90830E+02,    0.12321E+09
    0.18530E+02,    0.91200E+02,    0.11922E+09
    0.37810E+02,    0.46200E+02,    0.96083E+08
    0.35150E+02,    0.46520E+02,    0.96015E+08
    0.32920E+02,    0.46680E+02,    0.95956E+08
    0.30860E+02,    0.46990E+02,    0.95918E+08
    0.29470E+02,    0.46890E+02,    0.95754E+08
    0.28330E+02,    0.46900E+02,    0.95621E+08
    0.27230E+02,    0.46940E+02,    0.95473E+08
    0.26180E+02,    0.47020E+02,    0.95319E+08
    0.25260E+02,    0.47090E+02,    0.95146E+08
    0.24390E+02,    0.47180E+02,    0.94960E+08
    0.23500E+02,    0.47260E+02,    0.94735E+08
    0.22570E+02,    0.47380E+02,    0.94472E+08
    0.21670E+02,    0.47500E+02,    0.94149E+08
    0.20940E+02,    0.47690E+02,    0.93841E+08
    0.20270E+02,    0.47710E+02,    0.93462E+08
    0.19560E+02,    0.47740E+02,    0.92993E+08
    0.18830E+02,    0.47780E+02,    0.92445E+08
    0.18070E+02,    0.47850E+02,    0.91768E+08
    0.17320E+02,    0.47900E+02,    0.90972E+08
    0.16700E+02,    0.47860E+02,    0.90127E+08
    0.16120E+02,    0.47960E+02,    0.89273E+08
    0.15510E+02,    0.48080E+02,    0.88251E+08
    0.14910E+02,    0.48220E+02,    0.87111E+08
    0.14300E+02,    0.48300E+02,    0.85857E+08
    0.13680E+02,    0.48330E+02,    0.84615E+08
    0.13150E+02,    0.48280E+02,    0.83559E+08
    0.12640E+02,    0.48330E+02,    0.83200E+08
    0.12100E+02,    0.48410E+02,    0.84136E+08
    0.11550E+02,    0.48500E+02,    0.87673E+08
    0.10990E+02,    0.48590E+02,    0.95937E+08
    0.33820E+02,    0.26430E+02,    0.96094E+08
    0.29040E+02,    0.28540E+02,    0.96057E+08
    0.25300E+02,    0.27620E+02,    0.96073E+08
    0.22160E+02,    0.27430E+02,    0.96164E+08
    0.19320E+02,    0.27190E+02,    0.96344E+08
    0.16420E+02,    0.27770E+02,    0.96656E+08
    0.13100E+02,    0.27070E+02,    0.97282E+08
    0.10610E+02,    0.27940E+02,    0.98157E+08
    0.83800E+01,    0.28070E+02,    0.98970E+08
    0.62800E+01,    0.28200E+02,    0.99888E+08
    0.41300E+01,    0.28140E+02,    0.10046E+09
