           6
           1           1           3
           2           4           2
           3           6           2
           4           8           1
           5           9           0
           6           9           0
           8
           1           2
           2           4
           3           5
           4           3
           5           5
           6           4
           7           5
           8           5
          11
           1           1           7
           2           8           6
           3          14           5
           4          19           4
           5          23           5
           6          28           4
           7          32           3
           8          35           2
           9          37           1
          10          38           0
          11          38           0
          38
           1           2
           2           3
           3           4
           4           7
           5           8
           6           9
           7          10
           8           3
           9           4
          10           7
          11           8
          12           9
          13          10
          14           4
          15           5
          16           6
          17           9
          18          10
          19           5
          20           6
          21           9
          22          10
          23           6
          24           7
          25           8
          26           9
          27          10
          28           7
          29           8
          30           9
          31          10
          32           8
          33           9
          34          10
          35           9
          36          10
          37          10
          38           0
