  x,     y,    Z,    camp
    0.23726E+01,    0.41758E+01,    0.00000E+00,    0.10210E+02
    0.24634E+01,    0.41304E+01,    0.00000E+00,    0.10152E+02
    0.24824E+01,    0.41795E+01,    0.00000E+00,    0.10168E+02
    0.26148E+01,    0.41090E+01,    0.00000E+00,    0.10173E+02
    0.26338E+01,    0.41580E+01,    0.00000E+00,    0.10188E+02
    0.24480E+01,    0.42026E+01,    0.00000E+00,    0.10179E+02
    0.24671E+01,    0.42516E+01,    0.00000E+00,    0.10221E+02
    0.24298E+01,    0.43230E+01,    0.00000E+00,    0.10240E+02
    0.25740E+01,    0.43037E+01,    0.00000E+00,    0.10189E+02
    0.23734E+01,    0.43453E+01,    0.00000E+00,    0.10240E+02
    0.24107E+01,    0.42739E+01,    0.00000E+00,    0.10211E+02
    0.22980E+01,    0.43185E+01,    0.00000E+00,    0.10272E+02
    0.23353E+01,    0.42471E+01,    0.00000E+00,    0.10240E+02
    0.23916E+01,    0.43946E+01,    0.00000E+00,    0.10268E+02
    0.23520E+01,    0.44667E+01,    0.00000E+00,    0.10296E+02
    0.24433E+01,    0.44212E+01,    0.00000E+00,    0.10248E+02
    0.24588E+01,    0.44713E+01,    0.00000E+00,    0.10248E+02
    0.24714E+01,    0.43489E+01,    0.00000E+00,    0.10223E+02
    0.24667E+01,    0.43978E+01,    0.00000E+00,    0.10246E+02
    0.25593E+01,    0.43519E+01,    0.00000E+00,    0.10218E+02
    0.25546E+01,    0.44007E+01,    0.00000E+00,    0.10241E+02
    0.25600E+01,    0.44503E+01,    0.00000E+00,    0.10258E+02
    0.24244E+01,    0.44944E+01,    0.00000E+00,    0.10267E+02
    0.27064E+01,    0.42331E+01,    0.00000E+00,    0.10176E+02
    0.24398E+01,    0.45445E+01,    0.00000E+00,    0.10281E+02
    0.23998E+01,    0.46167E+01,    0.00000E+00,    0.10304E+02
    0.24897E+01,    0.45716E+01,    0.00000E+00,    0.10259E+02
    0.25052E+01,    0.46218E+01,    0.00000E+00,    0.10251E+02
    0.25754E+01,    0.45004E+01,    0.00000E+00,    0.10254E+02
    0.25909E+01,    0.45506E+01,    0.00000E+00,    0.10248E+02
    0.24708E+01,    0.46448E+01,    0.00000E+00,    0.10277E+02
    0.25063E+01,    0.47253E+01,    0.00000E+00,    0.10263E+02
    0.24919E+01,    0.47787E+01,    0.00000E+00,    0.10286E+02
    0.25866E+01,    0.48128E+01,    0.00000E+00,    0.10248E+02
    0.25722E+01,    0.48661E+01,    0.00000E+00,    0.10265E+02
    0.24713E+01,    0.46966E+01,    0.00000E+00,    0.10296E+02
    0.24425E+01,    0.48034E+01,    0.00000E+00,    0.10300E+02
    0.23865E+01,    0.47736E+01,    0.00000E+00,    0.10345E+02
    0.24009E+01,    0.47202E+01,    0.00000E+00,    0.10304E+02
    0.23449E+01,    0.46905E+01,    0.00000E+00,    0.10353E+02
    0.23169E+01,    0.47967E+01,    0.00000E+00,    0.10354E+02
    0.22614E+01,    0.47667E+01,    0.00000E+00,    0.10409E+02
    0.24630E+01,    0.48855E+01,    0.00000E+00,    0.10295E+02
    0.24486E+01,    0.49388E+01,    0.00000E+00,    0.10316E+02
    0.25578E+01,    0.49195E+01,    0.00000E+00,    0.10286E+02
    0.25434E+01,    0.49729E+01,    0.00000E+00,    0.10305E+02
    0.24281E+01,    0.48567E+01,    0.00000E+00,    0.10331E+02
    0.24010E+01,    0.49624E+01,    0.00000E+00,    0.10333E+02
    0.23463E+01,    0.49318E+01,    0.00000E+00,    0.10374E+02
    0.22241E+01,    0.49228E+01,    0.00000E+00,    0.10456E+02
    0.22793E+01,    0.49531E+01,    0.00000E+00,    0.10394E+02
    0.23038E+01,    0.48492E+01,    0.00000E+00,    0.10395E+02
    0.23590E+01,    0.48795E+01,    0.00000E+00,    0.10344E+02
    0.23929E+01,    0.50923E+01,    0.00000E+00,    0.10344E+02
    0.23080E+01,    0.51945E+01,    0.00000E+00,    0.10369E+02
    0.22360E+01,    0.48711E+01,    0.00000E+00,    0.10409E+02
    0.21804E+01,    0.48411E+01,    0.00000E+00,    0.10470E+02
    0.21665E+01,    0.49471E+01,    0.00000E+00,    0.10472E+02
    0.21224E+01,    0.48657E+01,    0.00000E+00,    0.10489E+02
    0.21204E+01,    0.49200E+01,    0.00000E+00,    0.10505E+02
    0.20722E+01,    0.49471E+01,    0.00000E+00,    0.10535E+02
    0.21478E+01,    0.50285E+01,    0.00000E+00,    0.10501E+02
    0.20849E+01,    0.50285E+01,    0.00000E+00,    0.10501E+02
    0.20260E+01,    0.49200E+01,    0.00000E+00,    0.10578E+02
    0.19819E+01,    0.48386E+01,    0.00000E+00,    0.10609E+02
    0.19778E+01,    0.49471E+01,    0.00000E+00,    0.10615E+02
    0.19337E+01,    0.48657E+01,    0.00000E+00,    0.10639E+02
    0.19839E+01,    0.47843E+01,    0.00000E+00,    0.10579E+02
    0.20280E+01,    0.48657E+01,    0.00000E+00,    0.10559E+02
