 X,    Y,   CH  
    0.50000E+02,    0.60000E+01,    0.32516E+95
    0.00000E+00,    0.80000E+01,    0.48701E+93
    0.20000E+01,    0.80000E+01,    0.42781E+93
    0.40000E+01,    0.80000E+01,    0.41650E+93
    0.60000E+01,    0.80000E+01,    0.41969E+93
    0.80000E+01,    0.80000E+01,    0.43302E+93
    0.10000E+02,    0.80000E+01,    0.45569E+93
    0.12000E+02,    0.80000E+01,    0.48834E+93
    0.14000E+02,    0.80000E+01,    0.53271E+93
    0.16000E+02,    0.80000E+01,    0.59189E+93
    0.18000E+02,    0.80000E+01,    0.67087E+93
    0.20000E+02,    0.80000E+01,    0.77745E+93
    0.22000E+02,    0.80000E+01,    0.92367E+93
    0.24000E+02,    0.80000E+01,    0.11280E+94
    0.26000E+02,    0.80000E+01,    0.14184E+94
    0.28000E+02,    0.80000E+01,    0.18374E+94
    0.30000E+02,    0.80000E+01,    0.24490E+94
    0.32000E+02,    0.80000E+01,    0.33493E+94
    0.34000E+02,    0.80000E+01,    0.46817E+94
    0.36000E+02,    0.80000E+01,    0.66607E+94
    0.38000E+02,    0.80000E+01,    0.96057E+94
    0.40000E+02,    0.80000E+01,    0.13993E+95
    0.42000E+02,    0.80000E+01,    0.20530E+95
    0.44000E+02,    0.80000E+01,    0.30272E+95
    0.46000E+02,    0.80000E+01,    0.44792E+95
    0.48000E+02,    0.80000E+01,    0.66434E+95
    0.50000E+02,    0.80000E+01,    0.98697E+95
    0.00000E+00,    0.10000E+02,    0.15666E+94
    0.20000E+01,    0.10000E+02,    0.13761E+94
    0.40000E+01,    0.10000E+02,    0.13395E+94
    0.60000E+01,    0.10000E+02,    0.13494E+94
    0.80000E+01,    0.10000E+02,    0.13916E+94
    0.10000E+02,    0.10000E+02,    0.14634E+94
    0.12000E+02,    0.10000E+02,    0.15664E+94
    0.14000E+02,    0.10000E+02,    0.17058E+94
    0.16000E+02,    0.10000E+02,    0.18908E+94
    0.18000E+02,    0.10000E+02,    0.21362E+94
    0.20000E+02,    0.10000E+02,    0.24654E+94
    0.22000E+02,    0.10000E+02,    0.29145E+94
    0.24000E+02,    0.10000E+02,    0.35390E+94
    0.26000E+02,    0.10000E+02,    0.44235E+94
    0.28000E+02,    0.10000E+02,    0.56964E+94
    0.30000E+02,    0.10000E+02,    0.75514E+94
    0.32000E+02,    0.10000E+02,    0.10279E+95
    0.34000E+02,    0.10000E+02,    0.14316E+95
    0.36000E+02,    0.10000E+02,    0.20312E+95
    0.38000E+02,    0.10000E+02,    0.29238E+95
    0.40000E+02,    0.10000E+02,    0.42538E+95
    0.42000E+02,    0.10000E+02,    0.62364E+95
    0.44000E+02,    0.10000E+02,    0.91920E+95
    0.46000E+02,    0.10000E+02,    0.13598E+96
    0.48000E+02,    0.10000E+02,    0.20166E+96
    0.50000E+02,    0.10000E+02,    0.29959E+96
    0.00000E+00,    0.12000E+02,    0.50398E+94
    0.20000E+01,    0.12000E+02,    0.44267E+94
    0.40000E+01,    0.12000E+02,    0.43086E+94
    0.60000E+01,    0.12000E+02,    0.43394E+94
    0.80000E+01,    0.12000E+02,    0.44733E+94
    0.10000E+02,    0.12000E+02,    0.47008E+94
    0.12000E+02,    0.12000E+02,    0.50265E+94
    0.14000E+02,    0.12000E+02,    0.54654E+94
    0.16000E+02,    0.12000E+02,    0.60446E+94
    0.18000E+02,    0.12000E+02,    0.68085E+94
    0.20000E+02,    0.12000E+02,    0.78269E+94
    0.22000E+02,    0.12000E+02,    0.92081E+94
    0.24000E+02,    0.12000E+02,    0.11119E+95
    0.26000E+02,    0.12000E+02,    0.13814E+95
    0.28000E+02,    0.12000E+02,    0.17682E+95
    0.30000E+02,    0.12000E+02,    0.23308E+95
    0.32000E+02,    0.12000E+02,    0.31575E+95
    0.34000E+02,    0.12000E+02,    0.43803E+95
    0.36000E+02,    0.12000E+02,    0.61969E+95
    0.38000E+02,    0.12000E+02,    0.89017E+95
    0.40000E+02,    0.12000E+02,    0.12934E+96
    0.42000E+02,    0.12000E+02,    0.18946E+96
    0.44000E+02,    0.12000E+02,    0.27912E+96
    0.46000E+02,    0.12000E+02,    0.41281E+96
    0.48000E+02,    0.12000E+02,    0.61215E+96
    0.50000E+02,    0.12000E+02,    0.90939E+96
    0.00000E+00,    0.14000E+02,    0.16214E+95
    0.20000E+01,    0.14000E+02,    0.14241E+95
    0.40000E+01,    0.14000E+02,    0.13859E+95
    0.60000E+01,    0.14000E+02,    0.13956E+95
    0.80000E+01,    0.14000E+02,    0.14381E+95
    0.10000E+02,    0.14000E+02,    0.15104E+95
    0.12000E+02,    0.14000E+02,    0.16135E+95
    0.14000E+02,    0.14000E+02,    0.17519E+95
    0.16000E+02,    0.14000E+02,    0.19336E+95
    0.18000E+02,    0.14000E+02,    0.21718E+95
    0.20000E+02,    0.14000E+02,    0.24874E+95
    0.22000E+02,    0.14000E+02,    0.29127E+95
    0.24000E+02,    0.14000E+02,    0.34980E+95
    0.26000E+02,    0.14000E+02,    0.43199E+95
    0.28000E+02,    0.14000E+02,    0.54956E+95
    0.30000E+02,    0.14000E+02,    0.72023E+95
    0.32000E+02,    0.14000E+02,    0.97072E+95
    0.34000E+02,    0.14000E+02,    0.13411E+96
    0.36000E+02,    0.14000E+02,    0.18913E+96
    0.38000E+02,    0.14000E+02,    0.27108E+96
    0.40000E+02,    0.14000E+02,    0.39329E+96
    0.42000E+02,    0.14000E+02,    0.57560E+96
    0.44000E+02,    0.14000E+02,    0.84756E+96
    0.46000E+02,    0.14000E+02,    0.12532E+97
    0.48000E+02,    0.14000E+02,    0.18582E+97
    0.50000E+02,    0.14000E+02,    0.27604E+97
    0.00000E+00,    0.16000E+02,    0.52163E+95
    0.20000E+01,    0.16000E+02,    0.45815E+95
    0.40000E+01,    0.16000E+02,    0.44584E+95
    0.60000E+01,    0.16000E+02,    0.44887E+95
    0.80000E+01,    0.16000E+02,    0.46241E+95
    0.10000E+02,    0.16000E+02,    0.48540E+95
    0.12000E+02,    0.16000E+02,    0.51812E+95
    0.14000E+02,    0.16000E+02,    0.56184E+95
    0.16000E+02,    0.16000E+02,    0.61895E+95
    0.18000E+02,    0.16000E+02,    0.69337E+95
