0.0 0 0 0 0 0 0 0 0 0 
0.001 0 0 0 0 0 0 0 0 0 
0.002 0 0 0 0 0 0 0 0 0 
0.003 0 0 0 0 0 0 0 0 0 
0.004 0 0 0 0 0 0 0 0 0 
0.005 0 0 0 0 0 0 0 0 0 
0.006 0 0 0 0 0 0 0 0 0 
0.007 0 0 0 0 0 0 0 0 0 
0.008 0 0 0 0 0 0 0 0 0 
0.009 0 0 0 0 0 0 0 0 0 
0.01 0 0 0 0 0 0 0 0 0 
0.011 1.741325e-07 0 0 0 0 0 0 0 0 
0.012 1.681009e-07 0 0 0 0 0 0 0 0 
0.013 1.652457e-07 0 0 0 0 0 0 0 0 
0.014 1.596689e-07 0 0 0 0 0 0 0 0 
0.015 1.564718e-07 0 0 0 0 0 0 0 0 
0.016 1.531249e-07 0 0 0 0 0 0 0 0 
0.017 1.497793e-07 0 0 0 0 0 0 0 0 
0.018 1.455213e-07 0 0 0 0 0 0 0 0 
0.019 1.439993e-07 0 0 0 0 0 0 0 0 
0.02 1.412106e-07 0 0 0 0 0 0 0 0 
0.021 1.385728e-07 0 0 0 0 0 0 0 0 
0.022 1.350599e-07 1.350599e-07 0 0 0 0 0 0 0 
0.023 1.346903e-07 1.346903e-07 0 0 0 0 0 0 0 
0.024 1.304746e-07 1.304746e-07 0 0 0 0 0 0 0 
0.025 1.299533e-07 1.299533e-07 0 0 0 0 0 0 0 
0.026 1.282492e-07 1.282492e-07 0 0 0 0 0 0 0 
0.027 1.2666e-07 1.2666e-07 0 0 0 0 0 0 0 
0.028 1.245556e-07 1.245556e-07 0 0 0 0 0 0 0 
0.029 1.233954e-07 1.233954e-07 0 0 0 0 0 0 0 
0.03 1.219009e-07 1.219009e-07 0 0 0 0 0 0 0 
0.031 1.2027e-07 1.2027e-07 0 0 0 0 0 0 0 
0.032 1.190399e-07 1.190399e-07 1.190399e-07 0 0 0 0 0 0 
0.033 1.17352e-07 1.17352e-07 1.17352e-07 0 0 0 0 0 0 
