"X","    Y","  V  ","Points:0","Points:1","Points:2"
0.64964,4.2398,0.46829,0.64964,4.2398,0
0.68719,4.2735,0.46973,0.68719,4.2735,0
0.723,4.3091,0.47117,0.723,4.3091,0
0.75695,4.3465,0.47272,0.75695,4.3465,0
0.78898,4.3856,0.47431,0.78898,4.3856,0
0.81899,4.4262,0.47597,0.81899,4.4262,0
0.84692,4.4683,0.47774,0.84692,4.4683,0
0.87268,4.5117,0.47959,0.87268,4.5117,0
0.89622,4.5564,0.48145,0.89622,4.5564,0
0.91747,4.6022,0.4834,0.91747,4.6022,0
0.93639,4.649,0.48537,0.93639,4.649,0
0.95291,4.6967,0.48739,0.95291,4.6967,0
0.96701,4.7453,0.48943,0.96701,4.7453,0
0.97864,4.7944,0.49149,0.97864,4.7944,0
0.98777,4.8441,0.49358,0.98777,4.8441,0
0.99438,4.8941,0.49567,0.99438,4.8941,0
0.99846,4.9445,0.49776,0.99846,4.9445,0
0.99042,5.1381,0.50599,0.99042,5.1381,0
0.96233,5.2719,0.51168,0.96233,5.2719,0
0.91755,5.3976,0.51706,0.91755,5.3976,0
0.85882,5.5123,0.5219,0.85882,5.5123,0
0.78937,5.6139,0.52622,0.78937,5.6139,0
0.71475,5.6994,0.52977,0.71475,5.6994,0
0.67696,5.736,0.53133,0.67696,5.736,0
0.63966,5.7687,0.53267,0.63966,5.7687,0
0.60078,5.7994,0.53406,0.60078,5.7994,0
0.56043,5.8282,0.53523,0.56043,5.8282,0
0.5187,5.855,0.53638,0.5187,5.855,0
0.47569,5.8796,0.53744,0.47569,5.8796,0
0.43152,5.9021,0.53836,0.43152,5.9021,0
0.38628,5.9224,0.53939,0.38628,5.9224,0
0.3401,5.9404,0.54024,0.3401,5.9404,0
0.29308,5.9561,0.54096,0.29308,5.9561,0
0.24535,5.9694,0.54153,0.24535,5.9694,0
0.197,5.9804,0.54185,0.197,5.9804,0
0.14818,5.989,0.54216,0.14818,5.989,0
0.098988,5.9951,0.5424,0.098988,5.9951,0
0.049555,5.9988,0.54255,0.049555,5.9988,0
0,5.95,0.5405,0,5.95,0
0,5.9,0.5384,0,5.9,0
0,5.85,0.53628,0,5.85,0
0,5.8,0.53416,0,5.8,0
0,5.75,0.53203,0,5.75,0
0,5.7,0.52991,0,5.7,0
0,5.65,0.52778,0,5.65,0
0,5.6,0.52565,0,5.6,0
0,5.55,0.52353,0,5.55,0
0,5.5,0.52141,0,5.5,0
0,5.45,0.51929,0,5.45,0
0,5.4,0.51717,0,5.4,0
0,5.35,0.51505,0,5.35,0
0,5.3,0.51293,0,5.3,0
0,5.25,0.51081,0,5.25,0
0,5.2,0.5087,0,5.2,0
0,5.15,0.50658,0,5.15,0
0,5.1,0.50447,0,5.1,0
0,5.05,0.50236,0,5.05,0
0,5,0.50024,0,5,0
0,4.95,0.49813,0,4.95,0
0,4.9,0.49602,0,4.9,0
0,4.85,0.49392,0,4.85,0
0,4.8,0.49181,0,4.8,0
0,4.75,0.4897,0,4.75,0
0,4.7,0.48759,0,4.7,0
0,4.65,0.48549,0,4.65,0
0,4.6,0.48338,0,4.6,0
0,4.55,0.48128,0,4.55,0
0,4.5,0.47918,0,4.5,0
0,4.45,0.47707,0,4.45,0
0,4.4,0.47497,0,4.4,0
0,4.35,0.47287,0,4.35,0
0,4.3,0.47077,0,4.3,0
0,4.25,0.46867,0,4.25,0
0,4.2,0.46658,0,4.2,0
0,4.15,0.46448,0,4.15,0
0,4.1,0.46239,0,4.1,0
0,4.05,0.4603,0,4.05,0
0,0.49999,0.049186,0,0.49999,0
0,0.99997,0.098269,0,0.99997,0
0,1.5,0.14714,0,1.5,0
0,1.9999,0.19561,0,1.9999,0
0,2.4836,0.24176,0,2.4836,0
0,2.5499,0.24803,0,2.5499,0
0,2.5999,0.25271,0,2.5999,0
0,2.6499,0.25736,0,2.6499,0
0,2.6999,0.26198,0,2.6999,0
0,2.7499,0.26658,0,2.7499,0
0,2.7999,0.27116,0,2.7999,0
0,2.8499,0.2757,0,2.8499,0
0,2.8999,0.2802,0,2.8999,0
0,2.9499,0.28468,0,2.9499,0
0,2.9999,0.28912,0,2.9999,0
0,3.0499,0.29351,0,3.0499,0
0,3.0999,0.29786,0,3.0999,0
0,3.1499,0.30215,0,3.1499,0
0,3.1999,0.30639,0,3.1999,0
0,3.2499,0.31057,0,3.2499,0
0,3.2999,0.31467,0,3.2999,0
0,3.3499,0.31869,0,3.3499,0
0,3.3999,0.32262,0,3.3999,0
0,3.4499,0.32644,0,3.4499,0
0,3.4999,0.33015,0,3.4999,0
0,3.5499,0.33372,0,3.5499,0
0,3.5999,0.33715,0,3.5999,0
0,3.6499,0.34039,0,3.6499,0
0,3.6999,0.34341,0,3.6999,0
0,3.7499,0.34622,0,3.7499,0
0,3.7999,0.34872,0,3.7999,0
0,3.8499,0.35091,0,3.8499,0
0,3.8999,0.35272,0,3.8999,0
0,3.9499,0.35405,0,3.9499,0
4.75,0.25,0.024886,4.75,0.25,0
4.375,0.125,0.01244,4.375,0.125,0
4.25,0.75,0.074642,4.25,0.75,0
3.625,0.375,0.037287,3.625,0.375,0
2.174,2.342,0.23169,2.174,2.342,0
2.8995,1.3585,0.13485,2.8995,1.3585,0
2.4498,0.67926,0.067316,2.4498,0.67926,0
4.5,9.75,0.97512,4.5,9.75,0
4.75,9.125,0.91289,4.75,9.125,0
4,9,0.9005,4,9,0
4.5,8.75,0.87554,4.5,8.75,0
2,8.2582,0.82781,2,8.2582,0
3.5,7.3791,0.73914,3.5,7.3791,0
4.25,6.6895,0.6698,4.25,6.6895,0
4.625,5.8448,0.58495,4.625,5.8448,0
2.8097,5.3694,0.53763,2.8097,5.3694,0
1.8942,5.0819,0.50874,1.8942,5.0819,0
3.9049,5.1847,0.51862,3.9049,5.1847,0
1.4154,4.8655,0.4845,1.4154,4.8655,0
1.1441,4.6886,0.46054,1.1441,4.6886,0
2.4919,3.8557,0.38324,2.4919,3.8557,0
4.4524,4.5924,0.45899,4.4524,4.5924,0
0.96656,4.537,0.43684,0.96656,4.537,0
1.818,4.2721,0.42297,1.818,4.2721,0
1.2705,4.2906,0.4188,1.2705,4.2906,0
0.94051,4.2492,0.4056,0.94051,4.2492,0
1.996,3.3071,0.32672,1.996,3.3071,0
4.7262,4.0462,0.40411,4.7262,4.0462,0
0.71222,4.187,0.38973,0.71222,4.187,0
0.998,3.1785,0.30902,0.998,3.1785,0
0.499,3.1642,0.30474,0.499,3.1642,0
0.46906,3.6328,0.34307,0.46906,3.6328,0
0.38376,3.8392,0.35541,0.38376,3.8392,0
0.23453,3.5914,0.33752,0.23453,3.5914,0
0.26736,3.9253,0.35693,0.26736,3.9253,0
0.11726,3.6706,0.342,0.11726,3.6706,0
0.13368,3.8876,0.35315,0.13368,3.8876,0
4.8631,3.5231,0.35162,4.8631,3.5231,0
0.06684,3.9187,0.35356,0.06684,3.9187,0
0.25,9.5,0.9508,0.25,9.5,0
