  x,     y,    Z,    camp
    0.49167E+01,    0.25000E+00,    0.00000E+00,    0.59732E-01
    0.47500E+01,    0.83333E-01,    0.00000E+00,    0.59727E-01
    0.48125E+01,    0.97917E+00,    0.00000E+00,    0.59751E-01
    0.49375E+01,    0.77083E+00,    0.00000E+00,    0.59748E-01
    0.45625E+01,    0.89583E+00,    0.00000E+00,    0.59761E-01
    0.45417E+01,    0.12500E+00,    0.00000E+00,    0.59719E-01
    0.42917E+01,    0.41667E-01,    0.00000E+00,    0.59711E-01
    0.47708E+01,    0.60417E+00,    0.00000E+00,    0.59748E-01
    0.45417E+01,    0.29167E+00,    0.00000E+00,    0.59723E-01
    0.42917E+01,    0.54167E+00,    0.00000E+00,    0.59721E-01
    0.47500E+01,    0.41667E+00,    0.00000E+00,    0.59727E-01
    0.45208E+01,    0.68750E+00,    0.00000E+00,    0.59729E-01
    0.43333E+01,    0.33333E+00,    0.00000E+00,    0.59717E-01
    0.41667E+01,    0.16667E+00,    0.00000E+00,    0.59697E-01
    0.41042E+01,    0.56250E+00,    0.00000E+00,    0.59712E-01
    0.38958E+01,    0.43750E+00,    0.00000E+00,    0.59689E-01
    0.40932E+01,    0.83456E+00,    0.00000E+00,    0.59723E-01
    0.39167E+01,    0.25000E+00,    0.00000E+00,    0.59688E-01
    0.47501E+01,    0.32330E+01,    0.00000E+00,    0.60132E-01
    0.41375E+01,    0.34091E+01,    0.00000E+00,    0.60181E-01
    0.45003E+01,    0.34661E+01,    0.00000E+00,    0.60137E-01
    0.37083E+01,    0.12500E+00,    0.00000E+00,    0.59659E-01
    0.34792E+01,    0.18750E+00,    0.00000E+00,    0.59648E-01
    0.32708E+01,    0.62500E-01,    0.00000E+00,    0.59616E-01
    0.30478E+01,    0.43338E+00,    0.00000E+00,    0.59595E-01
    0.46937E+01,    0.30047E+01,    0.00000E+00,    0.60036E-01
    0.48979E+01,    0.27793E+01,    0.00000E+00,    0.60019E-01
    0.42383E+01,    0.29310E+01,    0.00000E+00,    0.60069E-01
    0.44738E+01,    0.29441E+01,    0.00000E+00,    0.60081E-01
    0.40893E+01,    0.26442E+01,    0.00000E+00,    0.59948E-01
    0.45603E+01,    0.26705E+01,    0.00000E+00,    0.59975E-01
    0.47645E+01,    0.20702E+01,    0.00000E+00,    0.59893E-01
    0.45290E+01,    0.21403E+01,    0.00000E+00,    0.59893E-01
    0.47801E+01,    0.25644E+01,    0.00000E+00,    0.59983E-01
    0.35820E+01,    0.12977E+01,    0.00000E+00,    0.59681E-01
    0.37018E+01,    0.14904E+01,    0.00000E+00,    0.59733E-01
    0.38071E+01,    0.11963E+01,    0.00000E+00,    0.59718E-01
    0.39269E+01,    0.13890E+01,    0.00000E+00,    0.59770E-01
    0.30059E+01,    0.99943E+00,    0.00000E+00,    0.59600E-01
    0.27435E+01,    0.82372E+00,    0.00000E+00,    0.59501E-01
    0.26360E+01,    0.12356E+01,    0.00000E+00,    0.59498E-01
    0.24861E+01,    0.10092E+01,    0.00000E+00,    0.59428E-01
    0.33478E+01,    0.44517E+00,    0.00000E+00,    0.59598E-01
    0.18117E+00,    0.17368E+01,    0.00000E+00,    0.58169E-01
    0.90585E-01,    0.12851E+01,    0.00000E+00,    0.58650E-01
    0.27175E+00,    0.15219E+01,    0.00000E+00,    0.58574E-01
    0.17392E+00,    0.10351E+01,    0.00000E+00,    0.58810E-01
    0.57220E+00,    0.14362E+01,    0.00000E+00,    0.58565E-01
    0.34436E+01,    0.62088E+00,    0.00000E+00,    0.59651E-01
    0.34269E+01,    0.84730E+00,    0.00000E+00,    0.59679E-01
    0.37208E+01,    0.55071E+00,    0.00000E+00,    0.59647E-01
    0.37040E+01,    0.77713E+00,    0.00000E+00,    0.59676E-01
    0.33060E+01,    0.10112E+01,    0.00000E+00,    0.59617E-01
    0.29371E+01,    0.11946E+01,    0.00000E+00,    0.59568E-01
    0.34096E+01,    0.12520E+01,    0.00000E+00,    0.59683E-01
    0.31845E+01,    0.13535E+01,    0.00000E+00,    0.59641E-01
    0.43224E+01,    0.10221E+01,    0.00000E+00,    0.59728E-01
    0.38681E+01,    0.93598E+00,    0.00000E+00,    0.59707E-01
    0.47609E+01,    0.16151E+01,    0.00000E+00,    0.59829E-01
    0.47536E+01,    0.13717E+01,    0.00000E+00,    0.59788E-01
    0.44510E+01,    0.12688E+01,    0.00000E+00,    0.59787E-01
    0.39981E+01,    0.21843E+01,    0.00000E+00,    0.59881E-01
    0.37626E+01,    0.22545E+01,    0.00000E+00,    0.59828E-01
    0.41914E+01,    0.24482E+01,    0.00000E+00,    0.59954E-01
    0.38381E+01,    0.25118E+01,    0.00000E+00,    0.59939E-01
    0.39950E+01,    0.18010E+01,    0.00000E+00,    0.59772E-01
    0.33662E+01,    0.24037E+01,    0.00000E+00,    0.59795E-01
    0.35567E+01,    0.21984E+01,    0.00000E+00,    0.59855E-01
