X,    Y,  V  
    0.75703E+00,    0.43465E+01,    0.40522E+00
    0.78906E+00,    0.43855E+01,    0.41091E+00
    0.81907E+00,    0.44261E+01,    0.41683E+00
    0.84700E+00,    0.44682E+01,    0.42294E+00
    0.87277E+00,    0.45117E+01,    0.42921E+00
    0.89631E+00,    0.45564E+01,    0.43572E+00
    0.91757E+00,    0.46022E+01,    0.44237E+00
    0.93648E+00,    0.46490E+01,    0.44916E+00
    0.95301E+00,    0.46967E+01,    0.45612E+00
    0.96710E+00,    0.47452E+01,    0.46316E+00
    0.97873E+00,    0.47944E+01,    0.47029E+00
    0.98787E+00,    0.48441E+01,    0.47752E+00
    0.99448E+00,    0.48941E+01,    0.48484E+00
    0.99856E+00,    0.49445E+01,    0.49222E+00
    0.50486E-01,    0.40013E+01,    0.45825E+00
    0.10084E+00,    0.40051E+01,    0.45842E+00
    0.15094E+00,    0.40115E+01,    0.45870E+00
    0.20066E+00,    0.40203E+01,    0.45909E+00
    0.24986E+00,    0.40317E+01,    0.45956E+00
    0.29843E+00,    0.40456E+01,    0.46011E+00
    0.34624E+00,    0.40618E+01,    0.46067E+00
    0.39316E+00,    0.40805E+01,    0.46145E+00
    0.43908E+00,    0.41015E+01,    0.46234E+00
    0.48388E+00,    0.41249E+01,    0.46327E+00
    0.52744E+00,    0.41504E+01,    0.46446E+00
    0.56966E+00,    0.41781E+01,    0.46561E+00
    0.61043E+00,    0.42079E+01,    0.46691E+00
    0.64964E+00,    0.42398E+01,    0.46829E+00
    0.68719E+00,    0.42735E+01,    0.46973E+00
    0.72300E+00,    0.43091E+01,    0.47117E+00
    0.75695E+00,    0.43465E+01,    0.47272E+00
    0.78898E+00,    0.43856E+01,    0.47431E+00
    0.81899E+00,    0.44262E+01,    0.47597E+00
    0.84692E+00,    0.44683E+01,    0.47774E+00
    0.87268E+00,    0.45117E+01,    0.47959E+00
    0.89622E+00,    0.45564E+01,    0.48145E+00
    0.91747E+00,    0.46022E+01,    0.48340E+00
    0.93639E+00,    0.46490E+01,    0.48537E+00
    0.95291E+00,    0.46967E+01,    0.48739E+00
    0.96701E+00,    0.47453E+01,    0.48943E+00
    0.97864E+00,    0.47944E+01,    0.49149E+00
    0.98777E+00,    0.48441E+01,    0.49358E+00
    0.99438E+00,    0.48941E+01,    0.49567E+00
    0.99846E+00,    0.49445E+01,    0.49776E+00
    0.99042E+00,    0.51381E+01,    0.50599E+00
    0.96233E+00,    0.52719E+01,    0.51168E+00
    0.91755E+00,    0.53976E+01,    0.51706E+00
    0.85882E+00,    0.55123E+01,    0.52190E+00
    0.78937E+00,    0.56139E+01,    0.52622E+00
    0.71475E+00,    0.56994E+01,    0.52977E+00
    0.67696E+00,    0.57360E+01,    0.53133E+00
    0.63966E+00,    0.57687E+01,    0.53267E+00
    0.60078E+00,    0.57994E+01,    0.53406E+00
    0.56043E+00,    0.58282E+01,    0.53523E+00
    0.51870E+00,    0.58550E+01,    0.53638E+00
    0.47569E+00,    0.58796E+01,    0.53744E+00
    0.43152E+00,    0.59021E+01,    0.53836E+00
    0.38628E+00,    0.59224E+01,    0.53939E+00
    0.34010E+00,    0.59404E+01,    0.54024E+00
    0.29308E+00,    0.59561E+01,    0.54096E+00
    0.24535E+00,    0.59694E+01,    0.54153E+00
    0.19700E+00,    0.59804E+01,    0.54185E+00
    0.14818E+00,    0.59890E+01,    0.54216E+00
    0.98988E-01,    0.59951E+01,    0.54240E+00
    0.49555E-01,    0.59988E+01,    0.54255E+00
    0.00000E+00,    0.59500E+01,    0.54050E+00
    0.00000E+00,    0.59000E+01,    0.53840E+00
    0.00000E+00,    0.58500E+01,    0.53628E+00
    0.00000E+00,    0.58000E+01,    0.53416E+00
    0.00000E+00,    0.57500E+01,    0.53203E+00
    0.00000E+00,    0.57000E+01,    0.52991E+00
    0.00000E+00,    0.56500E+01,    0.52778E+00
    0.00000E+00,    0.56000E+01,    0.52565E+00
    0.00000E+00,    0.55500E+01,    0.52353E+00
    0.00000E+00,    0.55000E+01,    0.52141E+00
    0.00000E+00,    0.54500E+01,    0.51929E+00
    0.00000E+00,    0.54000E+01,    0.51717E+00
    0.00000E+00,    0.53500E+01,    0.51505E+00
    0.00000E+00,    0.53000E+01,    0.51293E+00
    0.00000E+00,    0.52500E+01,    0.51081E+00
    0.00000E+00,    0.52000E+01,    0.50870E+00
    0.00000E+00,    0.51500E+01,    0.50658E+00
    0.00000E+00,    0.51000E+01,    0.50447E+00
    0.00000E+00,    0.50500E+01,    0.50236E+00
    0.00000E+00,    0.50000E+01,    0.50024E+00
    0.00000E+00,    0.49500E+01,    0.49813E+00
    0.00000E+00,    0.49000E+01,    0.49602E+00
    0.00000E+00,    0.48500E+01,    0.49392E+00
    0.00000E+00,    0.48000E+01,    0.49181E+00
    0.00000E+00,    0.47500E+01,    0.48970E+00
    0.00000E+00,    0.47000E+01,    0.48759E+00
    0.00000E+00,    0.46500E+01,    0.48549E+00
    0.00000E+00,    0.46000E+01,    0.48338E+00
    0.00000E+00,    0.45500E+01,    0.48128E+00
    0.00000E+00,    0.45000E+01,    0.47918E+00
    0.00000E+00,    0.44500E+01,    0.47707E+00
    0.00000E+00,    0.44000E+01,    0.47497E+00
    0.00000E+00,    0.43500E+01,    0.47287E+00
    0.00000E+00,    0.43000E+01,    0.47077E+00
    0.00000E+00,    0.42500E+01,    0.46867E+00
    0.00000E+00,    0.42000E+01,    0.46658E+00
    0.00000E+00,    0.41500E+01,    0.46448E+00
    0.00000E+00,    0.41000E+01,    0.46239E+00
    0.00000E+00,    0.40500E+01,    0.46030E+00
    0.00000E+00,    0.49999E+00,    0.49186E-01
    0.00000E+00,    0.99997E+00,    0.98269E-01
    0.00000E+00,    0.15000E+01,    0.14714E+00
    0.00000E+00,    0.19999E+01,    0.19561E+00
    0.00000E+00,    0.24836E+01,    0.24176E+00
    0.00000E+00,    0.25499E+01,    0.24803E+00
    0.00000E+00,    0.25999E+01,    0.25271E+00
    0.00000E+00,    0.26499E+01,    0.25736E+00
    0.00000E+00,    0.26999E+01,    0.26198E+00
    0.00000E+00,    0.27499E+01,    0.26658E+00
    0.00000E+00,    0.27999E+01,    0.27116E+00
    0.00000E+00,    0.28499E+01,    0.27570E+00
    0.00000E+00,    0.28999E+01,    0.28020E+00
    0.00000E+00,    0.29499E+01,    0.28468E+00
    0.00000E+00,    0.29999E+01,    0.28912E+00
    0.00000E+00,    0.30499E+01,    0.29351E+00
    0.00000E+00,    0.30999E+01,    0.29786E+00
    0.00000E+00,    0.31499E+01,    0.30215E+00
    0.00000E+00,    0.31999E+01,    0.30639E+00
    0.00000E+00,    0.32499E+01,    0.31057E+00
    0.00000E+00,    0.32999E+01,    0.31467E+00
    0.00000E+00,    0.33499E+01,    0.31869E+00
    0.00000E+00,    0.33999E+01,    0.32262E+00
    0.00000E+00,    0.34499E+01,    0.32644E+00
    0.00000E+00,    0.34999E+01,    0.33015E+00
    0.00000E+00,    0.35499E+01,    0.33372E+00
    0.00000E+00,    0.35999E+01,    0.33715E+00
    0.00000E+00,    0.36499E+01,    0.34039E+00
    0.00000E+00,    0.36999E+01,    0.34341E+00
    0.00000E+00,    0.37499E+01,    0.34622E+00
    0.00000E+00,    0.37999E+01,    0.34872E+00
    0.00000E+00,    0.38499E+01,    0.35091E+00
    0.00000E+00,    0.38999E+01,    0.35272E+00
    0.00000E+00,    0.39499E+01,    0.35405E+00
    0.47500E+01,    0.25000E+00,    0.24886E-01
    0.43750E+01,    0.12500E+00,    0.12440E-01
    0.42500E+01,    0.75000E+00,    0.74642E-01
    0.36250E+01,    0.37500E+00,    0.37287E-01
    0.21740E+01,    0.23420E+01,    0.23169E+00
    0.28995E+01,    0.13585E+01,    0.13485E+00
    0.24498E+01,    0.67926E+00,    0.67316E-01
    0.45000E+01,    0.97500E+01,    0.97512E+00
    0.47500E+01,    0.91250E+01,    0.91289E+00
    0.40000E+01,    0.90000E+01,    0.90050E+00
    0.45000E+01,    0.87500E+01,    0.87554E+00
    0.20000E+01,    0.82582E+01,    0.82781E+00
    0.35000E+01,    0.73791E+01,    0.73914E+00
    0.42500E+01,    0.66895E+01,    0.66980E+00
    0.46250E+01,    0.58448E+01,    0.58495E+00
    0.28097E+01,    0.53694E+01,    0.53763E+00
    0.18942E+01,    0.50819E+01,    0.50874E+00
    0.39049E+01,    0.51847E+01,    0.51862E+00
    0.14154E+01,    0.48655E+01,    0.48450E+00
    0.11441E+01,    0.46886E+01,    0.46054E+00
    0.24919E+01,    0.38557E+01,    0.38324E+00
    0.44524E+01,    0.45924E+01,    0.45899E+00
    0.96656E+00,    0.45370E+01,    0.43684E+00
    0.18180E+01,    0.42721E+01,    0.42297E+00
    0.12705E+01,    0.42906E+01,    0.41880E+00
    0.94051E+00,    0.42492E+01,    0.40560E+00
    0.19960E+01,    0.33071E+01,    0.32672E+00
    0.47262E+01,    0.40462E+01,    0.40411E+00
    0.71222E+00,    0.41870E+01,    0.38973E+00
    0.99800E+00,    0.31785E+01,    0.30902E+00
    0.49900E+00,    0.31642E+01,    0.30474E+00
    0.46906E+00,    0.36328E+01,    0.34307E+00
    0.38376E+00,    0.38392E+01,    0.35541E+00
    0.23453E+00,    0.35914E+01,    0.33752E+00
    0.26736E+00,    0.39253E+01,    0.35693E+00
    0.11726E+00,    0.36706E+01,    0.34200E+00
    0.13368E+00,    0.38876E+01,    0.35315E+00
    0.48631E+01,    0.35231E+01,    0.35162E+00
    0.66840E-01,    0.39187E+01,    0.35356E+00
    0.25000E+00,    0.95000E+01,    0.95080E+00
    0.11250E+01,    0.88791E+01,    0.88957E+00
    0.13125E+01,    0.94396E+01,    0.94470E+00
    0.40000E+01,    0.80646E+01,    0.80731E+00
    0.46250E+01,    0.11250E+01,    0.11201E+00
    0.50000E+00,    0.49999E+00,    0.49212E-01
    0.25246E-01,    0.39755E+01,    0.35458E+00
    0.66840E-01,    0.38687E+01,    0.35189E+00
    0.58633E-01,    0.36353E+01,    0.33954E+00
    0.25051E+00,    0.37549E+01,    0.34823E+00
    0.11726E+00,    0.34956E+01,    0.33004E+00
    0.36677E+00,    0.33778E+01,    0.32216E+00
    0.18338E+00,    0.33139E+01,    0.31609E+00
    0.54799E+00,    0.40131E+01,    0.37048E+00
    0.91691E-01,    0.32069E+01,    0.30704E+00
    0.74425E+00,    0.41312E+01,    0.38706E+00
    0.24950E+00,    0.30071E+01,    0.29002E+00
    0.12475E+00,    0.28535E+01,    0.27607E+00
    0.62375E-01,    0.27017E+01,    0.26216E+00
    0.53019E+00,    0.29401E+01,    0.28478E+00
    0.15860E+01,    0.27603E+01,    0.27154E+00
    0.29628E+00,    0.28209E+01,    0.27332E+00
    0.18713E+00,    0.29303E+01,    0.28306E+00
    0.10870E+01,    0.19210E+01,    0.18878E+00
    0.17684E+01,    0.13001E+01,    0.12844E+00
    0.25000E+00,    0.24999E+00,    0.24603E-01
    0.14655E+00,    0.61781E+01,    0.64940E+00
    0.73277E-01,    0.62391E+01,    0.65295E+00
    0.36638E-01,    0.61946E+01,    0.65087E+00
    0.73277E-01,    0.61391E+01,    0.64832E+00
    0.61418E-01,    0.60690E+01,    0.64609E+00
    0.24779E-01,    0.60245E+01,    0.64533E+00
    0.10399E+00,    0.61236E+01,    0.64750E+00
    0.17179E+00,    0.60793E+01,    0.64508E+00
    0.25596E+00,    0.60099E+01,    0.64112E+00
    0.28905E+00,    0.60402E+01,    0.64115E+00
    0.14453E+00,    0.63451E+01,    0.65879E+00
    0.35250E+00,    0.60867E+01,    0.64138E+00
    0.11763E+01,    0.71725E+01,    0.72332E+00
    0.94553E+00,    0.64360E+01,    0.65608E+00
    0.72264E-01,    0.63726E+01,    0.66086E+00
    0.36132E-01,    0.64364E+01,    0.66523E+00
    0.45000E+01,    0.77823E+01,    0.77904E+00
    0.18066E-01,    0.64932E+01,    0.66928E+00
    0.24953E+00,    0.61324E+01,    0.64582E+00
    0.47276E+00,    0.65930E+01,    0.67466E+00
    0.41263E+00,    0.63399E+01,    0.65567E+00
    0.13766E+01,    0.52971E+01,    0.53449E+00
    0.30000E+01,    0.81614E+01,    0.81741E+00
    0.58813E+00,    0.71863E+01,    0.72665E+00
    0.11883E+01,    0.51486E+01,    0.51877E+00
    0.29406E+00,    0.70432E+01,    0.71435E+00
    0.14703E+00,    0.68966E+01,    0.70170E+00
    0.73516E-01,    0.68483E+01,    0.69763E+00
    0.73516E-01,    0.69483E+01,    0.70628E+00
    0.36758E-01,    0.70242E+01,    0.71299E+00
    0.14703E+00,    0.71716E+01,    0.72618E+00
    0.18776E+01,    0.59027E+01,    0.59464E+00
    0.73516E-01,    0.72858E+01,    0.73669E+00
    0.85656E+00,    0.80327E+01,    0.80694E+00
    0.42828E+00,    0.82664E+01,    0.82998E+00
    0.48125E+01,    0.81250E+00,    0.80892E-01
    0.45000E+01,    0.50000E+00,    0.49768E-01
    0.41250E+01,    0.37500E+00,    0.37311E-01
    0.35870E+01,    0.24210E+01,    0.24095E+00
    0.33125E+01,    0.18750E+00,    0.18630E-01
    0.42935E+01,    0.22105E+01,    0.22020E+00
    0.31060E+01,    0.77301E+00,    0.76767E-01
    0.54351E+00,    0.17105E+01,    0.16785E+00
    0.35748E+01,    0.10543E+01,    0.10482E+00
    0.39341E+01,    0.16324E+01,    0.16246E+00
    0.27249E+01,    0.33963E+00,    0.33688E-01
    0.22249E+01,    0.33963E+00,    0.33633E-01
    0.25368E+01,    0.18503E+01,    0.18341E+00
    0.37500E+01,    0.95000E+01,    0.95028E+00
    0.46250E+01,    0.94375E+01,    0.94401E+00
    0.41250E+01,    0.96250E+01,    0.96269E+00
    0.27500E+01,    0.90807E+01,    0.90880E+00
    0.20312E+01,    0.92601E+01,    0.92679E+00
    0.43750E+01,    0.90625E+01,    0.90668E+00
    0.45000E+01,    0.82661E+01,    0.82732E+00
    0.42828E+00,    0.77746E+01,    0.78249E+00
    0.36758E-01,    0.74011E+01,    0.74737E+00
    0.47500E+01,    0.73911E+01,    0.73993E+00
    0.23381E+01,    0.72758E+01,    0.73021E+00
    0.10754E+01,    0.52102E+01,    0.52824E+00
    0.46250E+01,    0.68448E+01,    0.68527E+00
    0.44375E+01,    0.62672E+01,    0.62739E+00
    0.44524E+01,    0.53424E+01,    0.53445E+00
    0.31549E+01,    0.63743E+01,    0.63885E+00
    0.12070E+01,    0.49050E+01,    0.48822E+00
    0.35299E+01,    0.57795E+01,    0.57867E+00
    0.10974E+01,    0.48745E+01,    0.48344E+00
    0.10614E+01,    0.47415E+01,    0.46533E+00
    0.99894E+00,    0.46952E+01,    0.45757E+00
    0.44524E+01,    0.49674E+01,    0.49672E+00
    0.16354E+01,    0.51895E+01,    0.52089E+00
    0.95152E+00,    0.45930E+01,    0.44284E+00
    0.93144E+00,    0.45467E+01,    0.43637E+00
    0.12797E+01,    0.47770E+01,    0.47322E+00
    0.90678E+00,    0.45026E+01,    0.43005E+00
    0.89375E+00,    0.43587E+01,    0.41422E+00
    0.18561E+01,    0.46770E+01,    0.46559E+00
    0.23329E+01,    0.50232E+01,    0.50241E+00
    0.27915E+01,    0.28641E+01,    0.28443E+00
    0.31984E+01,    0.45202E+01,    0.45140E+00
    0.47262E+01,    0.47962E+01,    0.47950E+00
    0.82539E+00,    0.43526E+01,    0.41004E+00
    0.10478E+01,    0.46408E+01,    0.45227E+00
    0.12073E+01,    0.44896E+01,    0.43885E+00
    0.76880E+00,    0.42698E+01,    0.39942E+00
    0.15317E+01,    0.45833E+01,    0.45372E+00
    0.74051E+00,    0.42284E+01,    0.39445E+00
    0.69974E+00,    0.42302E+01,    0.39223E+00
    0.66135E+00,    0.41974E+01,    0.38762E+00
    0.10739E+01,    0.43694E+01,    0.42232E+00
    0.55885E+00,    0.40956E+01,    0.37567E+00
    0.19070E+01,    0.37896E+01,    0.37442E+00
    0.11343E+01,    0.37346E+01,    0.36204E+00
    0.39623E+01,    0.42832E+01,    0.42780E+00
    0.49356E+00,    0.40573E+01,    0.37050E+00
    0.12475E+00,    0.30535E+01,    0.29390E+00
    0.15651E+01,    0.35208E+01,    0.34566E+00
    0.93563E-01,    0.29401E+01,    0.28384E+00
    0.62375E-01,    0.28767E+01,    0.27813E+00
    0.34119E+00,    0.32390E+01,    0.31046E+00
    0.84113E+00,    0.38738E+01,    0.36926E+00
    0.23297E+00,    0.31463E+01,    0.30216E+00
    0.38848E+00,    0.39598E+01,    0.36180E+00
    0.46823E+00,    0.39864E+01,    0.36590E+00
    0.73353E+00,    0.34057E+01,    0.32755E+00
    0.32792E+00,    0.39425E+01,    0.35920E+00
    0.28890E+00,    0.39871E+01,    0.35969E+00
    0.23402E+00,    0.39728E+01,    0.35771E+00
    0.11726E+00,    0.35831E+01,    0.33627E+00
    0.35979E+00,    0.36939E+01,    0.34588E+00
    0.58633E-01,    0.35228E+01,    0.33187E+00
    0.58633E-01,    0.34728E+01,    0.32821E+00
    0.18385E+00,    0.39302E+01,    0.35535E+00
    0.11727E+00,    0.39463E+01,    0.35478E+00
    0.92053E-01,    0.37697E+01,    0.34754E+00
    0.29316E-01,    0.36676E+01,    0.34152E+00
    0.60685E-01,    0.37186E+01,    0.34461E+00
    0.19210E+00,    0.38212E+01,    0.35102E+00
    0.83879E-01,    0.39737E+01,    0.35499E+00
    0.37747E+01,    0.33521E+01,    0.33419E+00
    0.42504E+01,    0.36991E+01,    0.36919E+00
    0.33420E-01,    0.39343E+01,    0.35378E+00
    0.33420E-01,    0.38843E+01,    0.35229E+00
    0.62500E+00,    0.97500E+01,    0.97538E+00
    0.87500E+00,    0.93146E+01,    0.93248E+00
    0.56250E+00,    0.89396E+01,    0.89571E+00
    0.28125E+00,    0.87198E+01,    0.87425E+00
    0.15625E+01,    0.85687E+01,    0.85877E+00
    0.17656E+01,    0.96301E+01,    0.96343E+00
    0.43750E+01,    0.72359E+01,    0.72447E+00
    0.40000E+01,    0.85323E+01,    0.85393E+00
    0.46467E+01,    0.18553E+01,    0.18480E+00
    0.75000E+00,    0.24999E+00,    0.24627E-01
    0.25000E+00,    0.74998E+00,    0.73769E-01
    0.12592E+01,    0.77506E+00,    0.76442E-01
    0.90135E+00,    0.12428E+01,    0.12231E+00
    0.10026E+00,    0.39032E+01,    0.35334E+00
    0.33420E-01,    0.38343E+01,    0.35033E+00
    0.46026E-01,    0.37848E+01,    0.34810E+00
    0.29316E-01,    0.36176E+01,    0.33834E+00
    0.43974E-01,    0.35702E+01,    0.33518E+00
    0.22973E+00,    0.38733E+01,    0.35401E+00
    0.30674E+00,    0.38562E+01,    0.35467E+00
    0.24252E+00,    0.36731E+01,    0.34310E+00
    0.91691E-01,    0.33569E+01,    0.31934E+00
    0.91691E-01,    0.32819E+01,    0.31328E+00
    0.41791E+00,    0.35053E+01,    0.33274E+00
    0.55015E+00,    0.33917E+01,    0.32469E+00
    0.24202E+00,    0.34367E+01,    0.32612E+00
    0.10448E+00,    0.34263E+01,    0.32479E+00
    0.45846E-01,    0.32284E+01,    0.30880E+00
    0.45846E-01,    0.31784E+01,    0.30460E+00
    0.52139E+00,    0.41102E+01,    0.37450E+00
    0.65155E+00,    0.41134E+01,    0.38140E+00
    0.50853E+00,    0.38230E+01,    0.35727E+00
    0.46781E-01,    0.29700E+01,    0.28648E+00
    0.68188E+00,    0.41502E+01,    0.38546E+00
    0.84051E+00,    0.42388E+01,    0.40042E+00
    0.93390E+00,    0.35701E+01,    0.34431E+00
    0.62375E-01,    0.28267E+01,    0.27361E+00
    0.62375E-01,    0.27642E+01,    0.26791E+00
    0.31188E-01,    0.27258E+01,    0.26437E+00
    0.31188E-01,    0.26758E+01,    0.25976E+00
    0.31188E-01,    0.26258E+01,    0.25513E+00
    0.37425E+00,    0.30856E+01,    0.29730E+00
    0.76409E+00,    0.30593E+01,    0.29666E+00
    0.41990E+00,    0.22657E+01,    0.22139E+00
    0.15756E+01,    0.31406E+01,    0.30858E+00
    0.20850E+01,    0.28246E+01,    0.27922E+00
    0.47504E+00,    0.26029E+01,    0.25342E+00
    0.17933E+00,    0.27926E+01,    0.27058E+00
    0.33527E+00,    0.29533E+01,    0.28540E+00
    0.25311E+00,    0.26144E+01,    0.25421E+00
    0.24170E+00,    0.28756E+01,    0.27821E+00
    0.18323E+00,    0.28645E+01,    0.27713E+00
    0.15594E+00,    0.29919E+01,    0.28851E+00
    0.10305E+01,    0.26816E+01,    0.26222E+00
    0.16305E+01,    0.21315E+01,    0.21011E+00
    0.23340E+01,    0.13293E+01,    0.13165E+00
    0.18624E+01,    0.16981E+00,    0.16790E-01
    0.72770E-01,    0.63059E+01,    0.65669E+00
    0.29108E+00,    0.59982E+01,    0.63972E+00
    0.36385E-01,    0.62780E+01,    0.65521E+00
    0.14554E+00,    0.62616E+01,    0.65376E+00
    0.36638E-01,    0.62446E+01,    0.65337E+00
    0.36638E-01,    0.61196E+01,    0.64777E+00
    0.73277E-01,    0.61891E+01,    0.65046E+00
    0.36638E-01,    0.61571E+01,    0.64922E+00
    0.30709E-01,    0.60846E+01,    0.64665E+00
    0.80207E-01,    0.60321E+01,    0.64509E+00
    0.12600E+00,    0.60557E+01,    0.64509E+00
    0.67347E-01,    0.61041E+01,    0.64709E+00
    0.10991E+00,    0.61836E+01,    0.64998E+00
    0.18440E+00,    0.60299E+01,    0.64340E+00
    0.15917E+00,    0.61287E+01,    0.64709E+00
    0.36941E+00,    0.60046E+01,    0.63724E+00
