  x,     y,   corriente
    0.44070E+01,    0.69424E+02,    0.17533E-13
    0.16219E+02,    0.63994E+02,    0.19840E-13
    0.19900E+02,    0.63961E+02,    0.19880E-13
    0.13334E+02,    0.47100E+02,    0.24327E-13
    0.17246E+02,    0.48654E+02,    0.22415E-13
    0.17835E+02,    0.49886E+02,    0.21752E-13
    0.87693E+01,    0.39908E+02,    0.18185E-13
    0.87201E+01,    0.40719E+02,    0.18340E-13
    0.82770E+01,    0.63570E+02,    0.16499E-13
    0.54610E+00,    0.37050E+02,    0.93624E-14
    0.64337E+01,    0.38035E+02,    0.14739E-13
    0.61699E+01,    0.37288E+02,    0.14659E-13
    0.44239E+01,    0.36580E+02,    0.13006E-13
    0.51629E+01,    0.37172E+02,    0.14392E-13
    0.48655E+01,    0.37787E+02,    0.12649E-13
    0.15318E+02,    0.46401E+02,    0.22044E-13
    0.16931E+02,    0.46082E+02,    0.22202E-13
    0.12199E+02,    0.41137E+02,    0.20882E-13
    0.13492E+02,    0.41461E+02,    0.20114E-13
    0.14948E+02,    0.61552E+02,    0.19515E-13
    0.15485E+02,    0.59708E+02,    0.20786E-13
    0.21896E+02,    0.60289E+02,    0.20438E-13
    0.27182E+02,    0.54649E+02,    0.20502E-13
    0.26154E+02,    0.58867E+02,    0.20279E-13
    0.12142E+02,    0.46405E+02,    0.24188E-13
    0.12700E+02,    0.47377E+02,    0.24369E-13
    0.80849E+01,    0.39491E+02,    0.17189E-13
    0.75067E+01,    0.39918E+02,    0.16797E-13
    0.69685E+01,    0.39699E+02,    0.16124E-13
    0.67368E+01,    0.39181E+02,    0.14969E-13
    0.78430E+01,    0.38600E+02,    0.16226E-13
    0.70331E+01,    0.38508E+02,    0.16228E-13
    0.75206E+01,    0.40440E+02,    0.16854E-13
    0.71299E+01,    0.40619E+02,    0.16960E-13
    0.71479E+01,    0.40953E+02,    0.17138E-13
    0.66354E+01,    0.40032E+02,    0.15741E-13
    0.62587E+01,    0.39936E+02,    0.15329E-13
    0.32314E+00,    0.63514E+02,    0.11166E-13
    0.23073E+01,    0.64771E+02,    0.14028E-13
    0.81039E+00,    0.63953E+02,    0.11472E-13
    0.48725E+00,    0.64753E+02,    0.13184E-13
    0.11855E+01,    0.65350E+02,    0.13478E-13
    0.33623E+01,    0.65176E+02,    0.13984E-13
    0.32052E+01,    0.66636E+02,    0.15999E-13
    0.46692E+01,    0.67335E+02,    0.16161E-13
    0.62227E+01,    0.66212E+02,    0.17146E-13
    0.36319E+01,    0.63069E+02,    0.12660E-13
    0.86921E+01,    0.62270E+02,    0.17579E-13
    0.15547E+01,    0.37024E+02,    0.97257E-14
    0.10462E+01,    0.37256E+02,    0.98718E-14
    0.22263E+00,    0.37366E+02,    0.90896E-14
    0.17821E+00,    0.38002E+02,    0.71016E-14
    0.40085E+00,    0.37775E+02,    0.74030E-14
    0.51973E+01,    0.38280E+02,    0.13324E-13
    0.57586E+01,    0.38412E+02,    0.14065E-13
    0.43049E+01,    0.37857E+02,    0.12632E-13
    0.14523E+02,    0.43662E+02,    0.21444E-13
    0.13487E+02,    0.42773E+02,    0.21863E-13
    0.12303E+02,    0.44008E+02,    0.22848E-13
    0.12352E+02,    0.43276E+02,    0.21293E-13
    0.17388E+02,    0.44518E+02,    0.21027E-13
    0.16001E+02,    0.43286E+02,    0.21531E-13
    0.16764E+02,    0.41167E+02,    0.20522E-13
    0.19217E+02,    0.41221E+02,    0.20435E-13
    0.19654E+02,    0.43605E+02,    0.21175E-13
    0.14209E+02,    0.54370E+02,    0.23167E-13
    0.11791E+02,    0.59945E+02,    0.19221E-13
    0.98696E+01,    0.61788E+02,    0.18204E-13
    0.11438E+02,    0.62564E+02,    0.18663E-13
    0.12621E+02,    0.61446E+02,    0.19816E-13
    0.64416E+01,    0.61963E+02,    0.14744E-13
    0.14706E+02,    0.56322E+02,    0.21415E-13
    0.14009E+02,    0.55244E+02,    0.22122E-13
    0.11715E+02,    0.44812E+02,    0.23861E-13
    0.11118E+02,    0.44128E+02,    0.23149E-13
    0.11615E+02,    0.44244E+02,    0.22376E-13
    0.12644E+02,    0.47943E+02,    0.25351E-13
    0.12314E+02,    0.51278E+02,    0.25857E-13
    0.15681E+02,    0.48548E+02,    0.22497E-13
    0.15025E+02,    0.47559E+02,    0.23352E-13
    0.13964E+02,    0.47675E+02,    0.23282E-13
    0.80925E+01,    0.42149E+02,    0.20424E-13
    0.86120E+01,    0.43027E+02,    0.22041E-13
    0.83867E+01,    0.42163E+02,    0.19793E-13
    0.90109E+01,    0.41793E+02,    0.19488E-13
    0.85528E+01,    0.41827E+02,    0.20128E-13
    0.73123E+01,    0.41179E+02,    0.18252E-13
    0.54235E+01,    0.39141E+02,    0.13622E-13
    0.58265E+01,    0.38915E+02,    0.13691E-13
    0.62054E+01,    0.39210E+02,    0.15144E-13
    0.60603E+01,    0.39633E+02,    0.14185E-13
    0.63646E+01,    0.40525E+02,    0.16220E-13
    0.63279E+01,    0.40749E+02,    0.15872E-13
    0.68386E+01,    0.40583E+02,    0.17037E-13
    0.66541E+01,    0.40394E+02,    0.15685E-13
    0.61559E+01,    0.40403E+02,    0.15326E-13
    0.60687E+01,    0.40176E+02,    0.14837E-13
    0.57890E+01,    0.40151E+02,    0.14817E-13
    0.56967E+01,    0.40330E+02,    0.14372E-13
    0.11700E+02,    0.46126E+02,    0.25138E-13
    0.11722E+02,    0.45731E+02,    0.23911E-13
    0.98288E+01,    0.44207E+02,    0.23989E-13
    0.23402E+01,    0.63846E+02,    0.11820E-13
    0.29100E+01,    0.63216E+02,    0.11936E-13
    0.25502E+01,    0.62661E+02,    0.10494E-13
    0.19924E+01,    0.62648E+02,    0.10240E-13
    0.15416E+01,    0.63624E+02,    0.12062E-13
    0.15534E+01,    0.62981E+02,    0.97372E-14
    0.45191E+01,    0.64381E+02,    0.15107E-13
    0.44299E+01,    0.63421E+02,    0.13013E-13
    0.51679E+01,    0.62826E+02,    0.14393E-13
