    0.93835E+01    0.45323E+02    0.43246E+00    0.66712E-18
    0.89662E+01    0.44578E+02    0.42270E+00    0.77700E-18
    0.32610E-01    0.39774E+02    0.42754E+00    0.15698E-17
    0.32610E-01    0.39728E+02    0.41329E+00    0.15511E-17
    0.44005E+00    0.39853E+02    0.44949E+00    0.15937E-17
    0.10578E+01    0.39569E+02    0.34927E+00    0.14858E-17
    0.38487E-01    0.39521E+02    0.35003E+00    0.14950E-17
    0.39480E+00    0.39872E+02    0.45618E+00    0.15887E-17
    0.27234E+00    0.39730E+02    0.41257E+00    0.15452E-17
    0.37131E+00    0.39769E+02    0.42391E+00    0.15658E-17
    0.22291E+00    0.39519E+02    0.34871E+00    0.14929E-17
    0.22255E+00    0.39706E+02    0.40565E+00    0.15513E-17
    0.22589E+00    0.39658E+02    0.39071E+00    0.15251E-17
    0.16430E+00    0.39731E+02    0.41350E+00    0.15460E-17
    0.73822E+00    0.39546E+02    0.35020E+00    0.14908E-17
    0.82670E+00    0.40019E+02    0.49490E+00    0.16265E-17
    0.85563E+00    0.40003E+02    0.48894E+00    0.16279E-17
    0.84128E+00    0.39636E+02    0.37501E+00    0.15051E-17
    0.86550E+00    0.39555E+02    0.35015E+00    0.14894E-17
    0.70189E+01    0.42209E+02    0.38724E+00    0.11102E-17
    0.67754E+01    0.41999E+02    0.38461E+00    0.11415E-17
    0.68694E+01    0.42082E+02    0.38616E+00    0.11296E-17
    0.68778E+01    0.42210E+02    0.40760E+00    0.11357E-17
    0.65352E+01    0.41972E+02    0.41372E+00    0.11845E-17
    0.65698E+01    0.42000E+02    0.41408E+00    0.11825E-17
    0.59613E+01    0.41376E+02    0.37583E+00    0.12298E-17
    0.64748E+01    0.41760E+02    0.38225E+00    0.11766E-17
    0.63257E+01    0.41898E+02    0.42999E+00    0.12161E-17
    0.63747E+01    0.41900E+02    0.42326E+00    0.12136E-17
    0.63714E+01    0.41677E+02    0.38049E+00    0.11888E-17
    0.64482E+01    0.41944E+02    0.42119E+00    0.12029E-17
    0.63973E+01    0.41946E+02    0.42899E+00    0.12083E-17
    0.64809E+01    0.41987E+02    0.42455E+00    0.11995E-17
    0.64727E+01    0.42040E+02    0.43586E+00    0.12022E-17
    0.64274E+01    0.42071E+02    0.44850E+00    0.12247E-17
    0.60105E+01    0.41810E+02    0.45888E+00    0.12714E-17
    0.58490E+01    0.41297E+02    0.37418E+00    0.12414E-17
    0.57422E+01    0.41229E+02    0.37363E+00    0.12513E-17
    0.52506E+01    0.40929E+02    0.37000E+00    0.12937E-17
    0.51938E+01    0.41193E+02    0.43822E+00    0.13533E-17
    0.20133E+01    0.39709E+02    0.35084E+00    0.14660E-17
    0.10431E+02    0.48942E+02    0.48472E+00    0.16797E-18
    0.97677E+01    0.46191E+02    0.44504E+00    0.54848E-18
    0.72497E+01    0.42427E+02    0.39089E+00    0.10800E-17
    0.73905E+01    0.42564E+02    0.39293E+00    0.10602E-17
    0.69562E+01    0.42450E+02    0.43759E+00    0.11478E-17
    0.68603E+01    0.42446E+02    0.45154E+00    0.11688E-17
    0.68998E+01    0.42425E+02    0.44181E+00    0.11468E-17
    0.77026E+01    0.42887E+02    0.39736E+00    0.10147E-17
    0.92610E+01    0.45090E+02    0.42947E+00    0.70234E-18
    0.93514E+01    0.45254E+02    0.43121E+00    0.67955E-18
    0.87329E+01    0.44207E+02    0.41713E+00    0.82797E-18
    0.20137E+01    0.60291E+02    0.64917E+00    0.14691E-17
    0.56380E+01    0.41717E+02    0.49476E+00    0.13443E-17
    0.57940E+01    0.41828E+02    0.49528E+00    0.13251E-17
    0.57385E+01    0.41534E+02    0.43980E+00    0.12900E-17
    0.58596E+01    0.41326E+02    0.37887E+00    0.12369E-17
    0.58975E+01    0.41335E+02    0.37562E+00    0.12374E-17
    0.58325E+01    0.41377E+02    0.39319E+00    0.12499E-17
    0.58280E+01    0.41345E+02    0.38708E+00    0.12513E-17
    0.54390E+01    0.41586E+02    0.49472E+00    0.13645E-17
    0.55425E+01    0.41645E+02    0.49288E+00    0.13524E-17
    0.55871E+01    0.41686E+02    0.49533E+00    0.13500E-17
    0.56185E+01    0.41684E+02    0.49012E+00    0.13470E-17
    0.55740E+01    0.41645E+02    0.48824E+00    0.13526E-17
    0.54720E+01    0.41341E+02    0.43427E+00    0.13139E-17
    0.54276E+01    0.41367E+02    0.44644E+00    0.13338E-17
    0.54589E+01    0.41185E+02    0.40118E+00    0.12952E-17
    0.54162E+01    0.41189E+02    0.40768E+00    0.13010E-17
    0.54015E+01    0.41224E+02    0.41746E+00    0.13172E-17
    0.54646E+01    0.41285E+02    0.42276E+00    0.13146E-17
    0.54202E+01    0.41269E+02    0.42511E+00    0.13121E-17
    0.53553E+01    0.40992E+02    0.37110E+00    0.12857E-17
    0.54219E+01    0.41034E+02    0.37219E+00    0.12786E-17
    0.52148E+01    0.41151E+02    0.42555E+00    0.13328E-17
    0.10291E+02    0.47986E+02    0.47081E+00    0.29606E-18
    0.27943E-01    0.39856E+02    0.45350E+00    0.15905E-17
    0.60552E-01    0.39812E+02    0.43933E+00    0.15789E-17
    0.27716E+00    0.39782E+02    0.42877E+00    0.15743E-17
    0.31358E+00    0.39883E+02    0.46056E+00    0.15987E-17
    0.34473E+00    0.39851E+02    0.45009E+00    0.15935E-17
    0.33266E+00    0.39804E+02    0.43515E+00    0.15691E-17
    0.16981E+01    0.39659E+02    0.35188E+00    0.14754E-17
    0.12560E+01    0.40066E+02    0.49559E+00    0.16180E-17
