  x,     y,    Z,    camp
    0.49167E+01,    0.25000E+00,    0.00000E+00,    0.59709E-01
    0.47500E+01,    0.83333E-01,    0.00000E+00,    0.59703E-01
    0.48125E+01,    0.97917E+00,    0.00000E+00,    0.59729E-01
    0.49375E+01,    0.77083E+00,    0.00000E+00,    0.59726E-01
    0.45625E+01,    0.89583E+00,    0.00000E+00,    0.59740E-01
    0.45417E+01,    0.12500E+00,    0.00000E+00,    0.59694E-01
    0.42917E+01,    0.41667E-01,    0.00000E+00,    0.59686E-01
    0.47708E+01,    0.60417E+00,    0.00000E+00,    0.59726E-01
    0.45417E+01,    0.29167E+00,    0.00000E+00,    0.59698E-01
    0.42917E+01,    0.54167E+00,    0.00000E+00,    0.59697E-01
    0.47500E+01,    0.41667E+00,    0.00000E+00,    0.59703E-01
    0.45208E+01,    0.68750E+00,    0.00000E+00,    0.59705E-01
    0.43333E+01,    0.33333E+00,    0.00000E+00,    0.59692E-01
    0.41667E+01,    0.16667E+00,    0.00000E+00,    0.59670E-01
    0.41042E+01,    0.56250E+00,    0.00000E+00,    0.59686E-01
    0.38958E+01,    0.43750E+00,    0.00000E+00,    0.59662E-01
    0.40932E+01,    0.83455E+00,    0.00000E+00,    0.59698E-01
    0.39167E+01,    0.25000E+00,    0.00000E+00,    0.59661E-01
    0.47502E+01,    0.32330E+01,    0.00000E+00,    0.60144E-01
    0.41376E+01,    0.34090E+01,    0.00000E+00,    0.60198E-01
    0.45004E+01,    0.34661E+01,    0.00000E+00,    0.60150E-01
    0.37083E+01,    0.12500E+00,    0.00000E+00,    0.59629E-01
    0.34792E+01,    0.18750E+00,    0.00000E+00,    0.59617E-01
    0.32708E+01,    0.62500E-01,    0.00000E+00,    0.59582E-01
    0.30478E+01,    0.43334E+00,    0.00000E+00,    0.59559E-01
    0.46937E+01,    0.30047E+01,    0.00000E+00,    0.60039E-01
    0.48979E+01,    0.27793E+01,    0.00000E+00,    0.60021E-01
    0.42384E+01,    0.29309E+01,    0.00000E+00,    0.60075E-01
    0.44739E+01,    0.29441E+01,    0.00000E+00,    0.60088E-01
    0.40894E+01,    0.26441E+01,    0.00000E+00,    0.59943E-01
    0.45603E+01,    0.26705E+01,    0.00000E+00,    0.59972E-01
    0.47645E+01,    0.20701E+01,    0.00000E+00,    0.59884E-01
    0.45291E+01,    0.21403E+01,    0.00000E+00,    0.59884E-01
    0.47802E+01,    0.25644E+01,    0.00000E+00,    0.59981E-01
    0.35821E+01,    0.12976E+01,    0.00000E+00,    0.59653E-01
    0.37019E+01,    0.14903E+01,    0.00000E+00,    0.59709E-01
    0.38072E+01,    0.11962E+01,    0.00000E+00,    0.59694E-01
    0.39270E+01,    0.13889E+01,    0.00000E+00,    0.59750E-01
    0.30060E+01,    0.99932E+00,    0.00000E+00,    0.59565E-01
    0.27436E+01,    0.82363E+00,    0.00000E+00,    0.59456E-01
    0.26362E+01,    0.12354E+01,    0.00000E+00,    0.59454E-01
    0.24862E+01,    0.10090E+01,    0.00000E+00,    0.59377E-01
    0.33479E+01,    0.44514E+00,    0.00000E+00,    0.59562E-01
    0.18120E+00,    0.17364E+01,    0.00000E+00,    0.58008E-01
    0.90598E-01,    0.12848E+01,    0.00000E+00,    0.58530E-01
    0.27180E+00,    0.15216E+01,    0.00000E+00,    0.58447E-01
    0.17393E+00,    0.10348E+01,    0.00000E+00,    0.58704E-01
    0.57227E+00,    0.14359E+01,    0.00000E+00,    0.58438E-01
    0.34437E+01,    0.62084E+00,    0.00000E+00,    0.59620E-01
    0.34270E+01,    0.84723E+00,    0.00000E+00,    0.59650E-01
    0.37208E+01,    0.55070E+00,    0.00000E+00,    0.59616E-01
    0.37041E+01,    0.77709E+00,    0.00000E+00,    0.59647E-01
    0.33061E+01,    0.10111E+01,    0.00000E+00,    0.59583E-01
    0.29372E+01,    0.11945E+01,    0.00000E+00,    0.59530E-01
    0.34097E+01,    0.12519E+01,    0.00000E+00,    0.59655E-01
    0.31846E+01,    0.13533E+01,    0.00000E+00,    0.59610E-01
    0.43224E+01,    0.10220E+01,    0.00000E+00,    0.59704E-01
    0.38681E+01,    0.93594E+00,    0.00000E+00,    0.59681E-01
    0.47609E+01,    0.16151E+01,    0.00000E+00,    0.59814E-01
    0.47536E+01,    0.13717E+01,    0.00000E+00,    0.59769E-01
    0.44510E+01,    0.12688E+01,    0.00000E+00,    0.59768E-01
    0.39982E+01,    0.21842E+01,    0.00000E+00,    0.59871E-01
    0.37628E+01,    0.22544E+01,    0.00000E+00,    0.59813E-01
    0.41915E+01,    0.24481E+01,    0.00000E+00,    0.59950E-01
    0.38383E+01,    0.25116E+01,    0.00000E+00,    0.59934E-01
    0.39951E+01,    0.18009E+01,    0.00000E+00,    0.59752E-01
